"","CON02_T2","CON05_T2","CON06_T2","CON07_T2","CON08_T2","CON09_T2","CON10_T2","CON11_T2","CON12_T2","CON13_T2","CON14_T2","CON17_T2","CON18_T2","CON19_T2","CON20_T2","CON21_T2","CON22_T2"
"ABCC5",802,898,764,914,1203,483,937,723,144,510,1201,1104,1018,1786,789,755,383
"ABCC5-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABCC6",47,37,42,47,51,29,17,36,6,16,87,91,44,72,45,69,28
"ABCC6P1",0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0
"ABCC6P2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABCC8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABCC9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABCD1",868,603,741,559,712,594,507,556,143,448,898,1073,894,745,645,742,319
"ABCD1P2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABCD1P3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABCD1P4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABCD1P5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABCD2",322,237,191,178,613,346,217,104,43,153,144,521,406,395,175,234,97
"ABCD3",728,459,533,434,1098,559,498,358,91,338,532,877,867,708,464,505,337
"ABCD4",1050,680,694,727,1308,781,691,555,202,456,761,1277,1192,932,696,972,367
"ABCE1",1310,811,918,708,2244,1167,821,722,192,640,728,1709,1655,1305,842,1014,493
"ABCF1",2345,1489,1678,1354,2207,1911,1555,1226,430,944,2061,2708,2565,1902,1389,2045,827
"ABCF2",1641,964,1027,835,1471,1208,979,839,241,567,1063,1952,1844,1328,974,1312,582
"ABCF2P1",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABCF2P2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABCF3",1460,1095,1124,959,1466,1161,1069,933,275,738,1276,1860,1812,1359,994,1442,616
"ABCG1",1190,569,690,805,929,808,907,669,235,592,1518,2186,1554,1439,797,1264,358
"ABCG2",23,26,30,25,13,18,56,9,13,20,44,12,11,16,47,16,23
"ABCG4",0,0,0,0,2,0,1,0,0,0,1,0,1,0,1,0,0
"ABCG5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABCG8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABHD1",20,9,4,11,21,13,18,9,4,4,10,32,24,26,13,14,13
"ABHD10",760,404,491,371,1069,685,481,458,132,387,423,845,848,723,406,609,271
"ABHD11",206,166,189,156,200,176,157,147,55,133,183,232,213,287,157,258,103
"ABHD12",688,339,450,351,565,503,331,367,108,259,518,724,715,489,380,627,243
"ABHD12B",0,1,0,0,0,1,1,0,1,1,0,1,2,0,2,0,2
"ABHD13",674,527,556,423,1115,593,475,542,149,467,393,896,819,827,437,680,252
"ABHD14A",256,161,179,127,191,242,172,121,23,93,134,280,286,150,139,229,65
"ABHD14A-ACY1",2,2,0,0,2,0,0,0,0,0,1,2,0,0,1,1,0
"ABHD14B",2314,1300,1593,1096,1880,1909,1548,1032,304,842,1324,2376,2511,1607,1259,1916,741
"ABHD15",764,656,643,616,857,638,522,398,113,275,688,1059,1097,768,608,878,362
"ABHD15-AS1",0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
"ABHD16A",114,125,100,146,210,93,114,97,28,93,199,221,157,173,139,172,65
"ABHD16B",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
"ABHD17A",5272,3917,4887,3967,4644,4321,3675,3453,1018,2449,4159,5639,5748,5251,3226,4739,2154
"ABHD17AP1",16,43,8,2,11,17,5,6,1,3,8,5,16,8,4,4,2
"ABHD17AP3",0,0,1,0,0,4,0,1,0,3,0,1,2,0,2,1,0
"ABHD17AP4",6,10,1,3,1,10,2,2,0,6,0,6,3,11,2,14,1
"ABHD17AP5",25,22,13,18,25,10,8,12,1,12,6,18,25,48,6,18,7
"ABHD17AP6",46,15,11,39,16,12,32,16,3,10,10,26,20,25,13,24,14
"ABHD17AP7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABHD17AP8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABHD17AP9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABHD17B",585,383,373,374,672,528,390,347,112,282,549,752,614,615,382,588,233
"ABHD17C",70,38,53,50,49,34,47,68,9,64,39,61,99,86,43,58,40
"ABHD18",596,407,414,458,892,401,468,318,72,257,440,853,796,586,421,417,207
"ABHD2",4199,5105,3940,4909,4738,4018,5019,6129,1819,4453,9936,6735,5381,8283,4717,11102,2455
"ABHD3",1387,1083,960,1096,1406,1091,1196,1108,389,920,1221,1404,1301,1487,1171,1318,601
"ABHD4",1132,1068,920,1216,912,937,998,1250,379,849,1392,1442,1128,1562,1106,1529,568
"ABHD5",1045,919,726,954,828,981,1354,1336,458,1315,1332,1174,996,2062,1045,1806,548
"ABHD6",330,228,164,186,333,219,136,198,51,156,221,362,356,263,120,225,112
"ABHD8",442,393,315,269,356,349,301,284,102,216,385,485,421,349,262,366,165
"ABI1",3068,2351,2097,2160,3818,2756,2315,2516,744,2055,2703,4002,3922,3566,2522,3037,1326
"ABI1P1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABI2",576,386,372,401,855,613,438,304,66,231,388,890,793,642,454,505,189
"ABI3",1636,1256,1608,1410,1385,1438,1048,1218,328,811,1329,2403,2526,1578,855,1801,1053
"ABI3BP",1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABITRAM",374,242,211,240,450,321,249,303,61,218,252,338,347,338,230,320,144
"ABITRAMP1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABL1",791,688,666,634,979,696,621,506,141,345,773,1285,1030,864,545,847,277
"ABL2",458,345,309,266,698,346,303,238,80,190,402,750,527,486,314,404,171
"ABLIM1",6800,3911,3455,3458,8753,5579,5547,2381,891,2367,4815,9162,7867,6246,4965,4530,2174
"ABLIM2",45,26,24,37,46,14,37,18,6,16,22,56,61,48,18,31,18
"ABLIM3",141,225,301,443,105,288,200,318,93,203,262,533,301,206,526,313,211
"ABO",103,18,38,25,480,329,432,17,8,26,86,60,42,65,37,60,8
"ABR",2993,2479,2484,2420,3088,2118,2503,2645,829,1918,3808,4118,3175,4221,2789,4154,1587
"ABR-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABRA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABRACL",1590,650,762,494,1488,1045,671,773,234,578,805,1466,1566,927,849,865,535
"ABRAXAS1",440,363,362,302,1039,509,384,301,86,312,302,775,644,499,342,434,212
"ABRAXAS1P1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABRAXAS1P2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABRAXAS2",706,386,417,390,778,616,428,391,106,276,474,913,710,583,425,657,259
"ABT1",1512,862,992,868,1305,1328,942,918,251,650,981,1595,1637,1395,847,1362,544
"ABT1P1",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABTB1",10479,11144,10639,10703,8474,9246,11178,14247,4780,11279,15393,10035,8412,17958,12432,18519,6794
"ABTB2",159,54,25,34,144,48,80,141,41,42,347,178,147,93,104,78,40
"ABTB3",587,479,552,406,691,477,394,210,88,234,334,770,677,521,298,706,240
"ACAA1",2955,2059,2409,1792,2862,2243,2274,2795,739,1865,3686,3060,2906,2364,1782,2615,1319
"ACAA2",1417,694,987,798,1240,791,695,584,136,560,750,1119,1365,831,834,1115,455
"ACAA2P1",9,5,9,4,12,12,1,0,1,2,12,4,15,4,11,6,3
"ACACA",451,240,241,274,470,325,326,214,56,164,366,564,465,397,268,342,145
"ACACB",608,320,262,264,655,285,459,224,70,151,772,676,601,394,355,400,110
"ACAD10",654,595,488,503,933,460,550,475,144,373,704,968,815,680,577,690,285
"ACAD11",20,16,17,27,55,10,9,5,1,10,17,36,38,32,23,8,12
"ACAD8",799,542,539,562,1018,645,555,538,111,479,601,972,990,762,727,634,333
"ACAD9",726,888,936,795,825,613,466,455,127,322,613,989,841,623,803,701,290
"ACADL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACADM",700,424,503,339,865,560,375,354,105,356,395,768,781,698,459,460,224
"ACADS",472,355,478,298,569,425,363,327,105,267,378,575,521,431,374,445,240
"ACADSB",473,335,358,335,751,475,344,233,78,215,302,636,648,555,295,376,167
"ACADVL",4381,3320,3932,3195,4667,3075,2893,3251,860,2596,4709,4509,4738,3495,3099,5505,1748
"ACAN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"ACAP1",9285,6366,6701,4899,8267,6966,6937,5794,1575,3888,7309,10469,9748,7072,5708,8152,2882
"ACAP2",3125,3311,2608,3218,4499,3116,3422,3515,1021,2618,3814,5074,3923,5249,3217,4085,1665
"ACAP2-IT1",11,23,9,6,38,7,12,9,2,3,27,36,17,27,18,13,7
"ACAP3",1243,987,996,894,1363,787,770,834,227,558,1328,1638,1322,1076,821,1003,543
"ACAT1",576,240,368,178,608,357,196,258,75,228,219,496,527,357,280,434,165
"ACAT2",767,299,309,238,582,510,323,380,114,220,321,589,628,477,293,473,204
"ACBD3",849,745,639,752,1341,835,642,715,229,556,828,1414,1218,1218,727,866,430
"ACBD3-AS1",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
"ACBD4",456,300,385,284,557,380,280,225,50,203,373,539,517,330,336,372,148
"ACBD5",677,683,558,606,1097,695,578,511,187,465,611,1090,1086,1023,613,827,355
"ACBD6",926,560,570,466,999,659,553,507,130,346,615,1051,971,730,529,675,281
"ACBD7",5,3,0,0,3,4,0,1,0,1,5,7,4,0,1,0,1
"ACCS",1142,335,377,333,512,264,298,189,60,202,493,748,714,851,249,395,192
"ACCSL",2,0,3,0,0,0,0,0,0,0,0,2,3,0,1,2,0
"ACCSLP1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACD",656,507,531,426,573,559,504,424,162,327,541,828,773,641,430,754,265
"ACE",39,26,14,16,48,37,26,14,7,11,23,36,31,46,17,18,10
"ACE2",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"ACE2-DT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACE3P",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACER1",21,17,16,18,30,19,23,15,2,16,16,24,34,9,10,21,10
"ACER2",36,31,22,40,28,6,31,6,0,11,21,66,32,22,23,33,9
"ACER2P1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACER3",685,528,425,507,975,690,519,553,117,371,863,970,685,561,452,600,298
"ACER3-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACHE",8,20,11,18,0,3,13,8,5,5,10,0,6,9,40,8,8
"ACIN1",6588,4869,4574,4568,8048,4743,5142,4278,1207,3066,6816,9314,7938,7145,5114,5929,2562
"ACKR1",0,0,0,0,0,0,0,0,0,38,0,0,0,24,0,1,1
"ACKR2",12,12,7,7,19,7,7,9,4,5,11,12,10,19,10,11,1
"ACKR3",110,86,106,112,173,115,91,31,17,47,61,168,206,140,84,118,51
"ACKR4",2,0,4,0,4,5,2,1,0,0,4,1,4,2,7,2,3
"ACKR4P1",1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACLY",3294,2594,2201,2565,3466,2833,2453,2310,569,1184,3254,4363,3935,3409,2417,3257,1286
"ACMSD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACNATP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACO1",356,259,245,200,348,269,254,179,52,118,265,425,412,326,178,341,130
"ACO2",2202,1723,1820,1513,2033,1849,1749,1534,423,1056,2127,2582,2448,2076,1540,2166,977
"ACO2P1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACO2P2",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"ACOD1",2,1,0,0,2,0,5,0,3,0,1,0,0,5,1,2,0
"ACOT1",4,0,2,2,1,0,0,0,0,0,2,4,2,0,0,0,0
"ACOT11",110,29,28,16,76,25,40,30,16,28,154,71,83,31,11,41,17
"ACOT12",3,0,0,0,2,3,0,2,0,0,1,2,2,6,1,0,1
"ACOT13",227,111,126,113,257,160,118,119,39,130,111,235,206,183,142,219,79
"ACOT2",126,96,113,102,143,119,94,60,31,57,97,167,174,139,74,111,53
"ACOT4",29,19,21,19,15,24,18,4,7,13,8,48,60,47,19,36,15
"ACOT6",0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
"ACOT7",266,128,138,128,162,216,146,175,43,99,147,193,221,186,181,224,104
"ACOT8",750,472,520,400,618,584,458,515,162,347,567,783,765,494,482,675,310
"ACOT9",1119,780,759,732,1125,868,673,721,240,625,1023,1460,1436,948,814,1111,497
"ACOX1",2007,1968,1622,1940,2028,1933,1704,2100,705,1925,2908,2461,1978,3940,2043,3628,1099
"ACOX2",5,5,4,5,5,1,2,2,0,3,4,8,2,7,1,0,3
"ACOX3",337,220,222,230,311,290,218,142,46,135,335,381,319,212,146,276,138
"ACOXL",6,2,2,3,2,0,7,9,2,4,5,8,6,19,4,5,1
"ACOXL-AS1",6,2,0,0,0,0,0,1,0,0,3,0,2,7,0,1,0
"ACP1",1421,793,902,677,1742,1082,914,761,340,705,937,1483,1608,1164,1093,1088,595
"ACP2",438,295,411,277,492,375,338,302,84,251,368,598,635,394,302,437,174
"ACP3",569,487,312,323,453,333,304,470,147,261,784,472,418,417,303,442,254
"ACP4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACP5",1325,866,935,866,931,964,912,916,325,566,933,1389,1345,739,1242,1099,637
"ACP6",280,310,337,233,493,298,193,169,67,161,232,434,367,296,313,312,123
"ACP7",1,1,3,1,4,0,0,1,0,0,0,0,0,4,0,2,2
"ACR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACRBP",874,944,1175,1157,723,973,821,895,372,575,843,933,890,1064,1623,1054,831
"ACRP1",0,0,0,2,1,2,2,0,0,0,0,0,0,1,0,1,0
"ACRV1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"ACSBG1",21,38,30,27,3,53,30,26,10,5,12,69,38,18,29,60,28
"ACSBG2",0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1
"ACSF2",551,247,245,200,430,288,268,346,75,152,551,593,505,337,285,343,144
"ACSF3",1223,1084,1005,915,1518,983,1044,767,219,598,1104,1814,1605,1205,1034,1167,493
"ACSL1",9328,9788,8639,6653,4824,9603,15008,24112,2603,11407,20235,8953,5950,13736,13898,11518,4890
"ACSL3",958,573,579,546,1081,757,636,656,152,483,671,1305,1164,964,688,947,300
"ACSL3-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACSL3P1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACSL4",1715,1719,1477,1291,2299,1445,1366,1872,526,1487,2103,2853,2193,2200,1432,1970,723
"ACSL5",2464,1405,1369,1353,2546,1677,1342,1408,308,886,1869,3013,2874,2024,1292,2021,788
"ACSL6",347,270,276,301,542,282,320,163,42,142,165,552,465,301,201,185,112
"ACSL6-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"ACSM1",29,9,17,23,11,24,20,9,4,13,22,24,30,11,13,35,2
"ACSM2A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACSM2B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACSM3",398,86,119,79,396,113,68,82,53,112,331,282,282,212,151,127,96
"ACSM4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACSM5",0,0,2,0,2,0,0,0,0,1,0,1,0,0,0,3,0
"ACSM5P1",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"ACSM6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACSS1",2915,1663,1546,1744,2888,2073,1803,1419,540,1193,2817,3639,3450,2524,2046,2540,1086
"ACSS2",910,825,734,695,941,743,940,807,236,500,1008,1069,943,1062,892,989,510
"ACSS3",23,19,27,18,21,13,14,16,6,24,30,9,9,32,11,9,9
"ACSS3-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACTA1",1,0,0,1,2,6,2,0,1,2,2,3,0,2,0,1,1
"ACTA2",104,114,106,89,109,49,76,70,16,54,338,141,123,143,73,221,26
"ACTA2-AS1",12,6,7,11,30,9,22,3,8,1,7,24,22,8,13,1,2
"ACTB",217679,145811,151935,123505,156481,188023,153668,185416,47859,106782,252389,232070,210274,210971,149232,227549,96215
"ACTBL2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACTBP1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACTBP11",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"ACTBP12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACTBP14",0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0
"ACTBP15",1,3,1,2,3,1,2,0,1,0,0,0,2,1,3,2,0
"ACTBP16",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACTBP2",6,8,5,4,5,11,10,14,2,5,16,15,6,11,4,2,0
"ACTBP6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACTBP7",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"ACTBP8",51,71,32,0,0,0,0,0,38,0,92,49,43,84,20,0,0
"ACTBP9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACTC1",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"ACTE1P",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"ACTG1",65486,39027,45869,33918,54681,54844,42574,43831,11652,29470,55122,62822,62073,54951,41217,58455,25682
"ACTG1P1",0,3,2,0,2,1,1,5,0,1,0,1,2,1,1,1,1
"ACTG1P10",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"ACTG1P11",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACTG1P12",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"ACTG1P13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACTG1P14",6,3,4,7,4,4,3,1,1,5,5,7,6,1,8,2,0
"ACTG1P15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACTG1P16",0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0
"ACTG1P17",55,49,40,30,95,44,42,31,12,28,46,52,54,44,70,54,13
"ACTG1P18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACTG1P19",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
"ACTG1P2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACTG1P20",3,3,1,0,8,1,5,2,0,1,4,7,6,3,3,1,2
"ACTG1P21",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"ACTG1P22",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACTG1P23",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"ACTG1P24",2,9,1,8,1,0,2,2,0,5,1,1,1,1,0,2,2
"ACTG1P25",1,0,0,0,4,7,0,1,0,3,0,0,0,3,0,0,0
"ACTG1P3",1,7,7,7,8,3,7,4,1,6,8,6,7,11,7,1,3
"ACTG1P4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACTG1P9",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"ACTG2",1,0,5,3,0,0,3,4,0,5,2,3,2,0,3,0,0
"ACTL11P",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACTL6A",1052,541,546,506,1026,818,609,500,114,432,580,1102,1054,753,528,762,389
"ACTL6B",0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0
"ACTL7A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACTL7B",0,0,2,0,0,2,0,0,0,0,0,0,0,1,0,0,0
