"","CON02_T1","CON05_T1","CON06_T1","CON07_T1","CON08_T1","CON09_T1","CON10_T1","CON11_T1","CON12_T1","CON13_T1","CON14_T1","CON17_T1","CON18_T1","CON19_T1","CON20_T1","CON21_T1","CON22_T1"
"BBS4",141,209,263,217,140,376,125,87,100,157,121,239,444,313,119,130,92
"BBS5",14,23,37,29,35,58,35,14,19,30,25,19,49,37,16,13,9
"BBS7",73,89,104,121,96,217,73,34,73,62,59,143,238,207,73,76,60
"BBS7-DT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BBS9",168,210,240,176,168,282,114,109,114,116,169,218,407,356,101,110,85
"BBX",566,889,971,725,794,1277,586,483,674,525,782,1030,1614,1789,372,531,419
"BCAM",17,44,26,117,2,6,27,7,46,21,10,8,16,15,63,35,35
"BCAN",0,2,1,2,0,1,0,0,0,0,0,0,0,0,0,6,0
"BCAN-AS1",0,6,0,0,2,1,0,7,0,0,0,0,0,0,2,0,0
"BCAN-AS2",4,2,0,1,0,1,1,2,2,0,0,2,0,0,2,0,0
"BCAP29",252,357,351,335,269,645,287,206,257,249,269,422,690,705,213,267,225
"BCAP31",3095,2974,4394,3537,2260,4334,2060,2747,2203,2823,2704,3013,5471,5093,2531,3102,1938
"BCAP31P1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BCAP31P2",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"BCAR1",4,9,5,2,2,1,0,3,1,3,0,10,14,0,6,1,0
"BCAR1P1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BCAR1P2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BCAR3",28,18,23,17,23,42,34,44,34,17,25,33,93,45,26,9,19
"BCAR3-AS1",3,4,11,1,1,10,6,2,1,2,5,1,12,10,4,0,0
"BCAR4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BCAS1",3,6,5,9,1,6,4,8,3,10,2,2,8,23,7,6,3
"BCAS1-AS1",1,4,5,9,1,11,6,8,2,3,4,2,2,21,5,9,1
"BCAS2",292,355,451,306,388,757,310,203,186,249,209,363,734,690,245,350,207
"BCAS2P1",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"BCAS2P2",8,8,3,5,15,36,8,3,1,9,3,6,14,21,11,10,2
"BCAS2P3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BCAS3",349,591,532,526,341,451,322,380,372,360,513,521,757,654,233,306,230
"BCAS3-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BCAS4",408,525,547,473,478,994,368,259,363,496,409,638,1131,947,207,276,205
"BCAT1",57,96,133,115,62,101,44,104,42,98,91,98,153,396,53,65,51
"BCAT1-AS1",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BCAT1-DT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BCAT2",292,399,535,424,260,554,255,210,197,290,216,378,660,529,239,273,215
"BCCIP",421,438,508,482,473,992,376,234,295,407,290,536,1018,835,382,444,306
"BCDIN3D",202,236,253,194,147,448,169,97,113,150,132,208,395,328,133,145,118
"BCDIN3D-AS1",9,2,6,4,8,19,2,1,3,6,4,5,12,13,5,3,0
"BCHE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BCKDHA",39,22,53,53,18,73,17,31,25,29,38,64,123,87,26,30,27
"BCKDHB",128,148,210,149,123,343,150,102,87,106,128,233,314,350,99,97,91
"BCKDK",770,935,1503,1166,463,1020,624,837,627,950,761,672,1193,1423,639,800,553
"BCL10",519,677,944,613,603,985,605,706,532,588,583,729,1051,1444,517,649,425
"BCL10-AS1",1,0,4,3,1,5,0,0,2,2,0,6,4,3,9,0,1
"BCL11A",394,521,401,496,356,840,219,251,504,437,488,771,1260,1121,321,370,277
"BCL11B",1791,2033,2681,1831,2388,4690,2065,1077,1431,1496,1921,3311,5424,4140,1186,1229,1155
"BCL2",1038,1519,1602,1272,1334,3484,1391,818,949,876,1079,1830,2973,2772,830,884,721
"BCL2A1",244,271,190,294,502,732,377,176,195,257,107,233,342,508,446,880,242
"BCL2L1",4289,10934,6438,16304,5333,2383,8387,4816,8762,4070,9215,2118,3154,4350,12861,3436,9341
"BCL2L1-AS1",7,26,17,8,13,50,14,5,18,17,22,24,45,48,15,6,8
"BCL2L10",0,0,2,4,3,1,0,0,0,0,1,0,2,0,1,1,0
"BCL2L11",666,1581,1493,1246,827,1329,1169,1782,940,820,1075,1139,1877,2445,496,1048,594
"BCL2L12",199,256,373,243,153,394,174,149,162,205,146,257,478,367,151,195,156
"BCL2L12P1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BCL2L13",664,986,1259,996,795,1541,666,503,778,704,1065,1073,1820,1477,803,597,736
"BCL2L14",5,3,0,1,1,10,6,3,4,2,1,14,7,2,5,2,3
"BCL2L15",18,33,34,23,20,47,17,12,13,14,17,20,44,56,13,7,9
"BCL2L2",129,168,273,231,153,333,131,139,108,150,154,191,322,330,126,141,135
"BCL2L2-PABPN1",0,3,0,1,3,1,1,0,1,1,0,1,3,1,0,0,1
"BCL3",918,1742,2983,1369,692,1420,1332,2821,1449,1438,1519,1077,1731,2707,1419,1439,788
"BCL6",3141,8509,8147,4211,2813,9081,6576,10167,5493,4616,7597,3702,5511,12859,5412,4057,2372
"BCL6B",3,1,4,7,2,10,5,1,1,0,5,1,7,3,0,1,2
"BCL7A",238,291,185,276,311,829,170,167,367,375,395,562,762,915,273,179,196
"BCL7B",900,879,1230,897,790,1650,735,548,611,786,704,904,1575,1490,630,762,526
"BCL7C",628,442,809,566,433,877,355,350,350,374,284,526,847,759,350,507,307
"BCL9",190,336,346,290,263,549,243,161,142,231,311,373,651,524,165,140,137
"BCL9L",1893,2814,2808,2478,2565,4104,1973,1090,1669,1672,2090,3391,5581,5160,1277,1395,1166
"BCL9P1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"BCLAF1",1929,3315,3348,2518,2403,4738,2435,1755,1994,2088,2215,3025,5243,5927,1650,1930,1521
"BCLAF1P1",1,2,1,0,0,1,0,0,0,1,1,0,0,2,1,1,0
"BCLAF1P2",1,7,3,0,0,1,1,2,3,0,1,0,0,4,0,0,0
"BCLAF3",144,348,264,173,218,491,286,189,168,279,288,232,394,636,191,175,102
"BCO1",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"BCO2",21,22,23,27,10,23,22,8,17,15,13,21,39,41,12,12,11
"BCOR",336,576,592,530,477,798,369,349,549,385,639,640,1207,1227,295,416,273
"BCORL1",250,397,412,311,204,351,195,356,297,211,452,274,519,613,208,263,171
"BCORP1",149,0,0,169,241,694,0,0,53,143,87,253,391,0,121,96,106
"BCR",928,1449,1649,1712,1454,2192,863,1431,956,1270,957,1630,2739,3156,909,901,767
"BCRP1",0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0
"BCRP2",4,5,1,4,0,0,4,0,2,2,0,0,1,0,3,3,0
"BCRP4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BCRP5",1,2,1,4,2,3,2,0,0,1,4,1,4,6,2,1,0
"BCRP6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BCRP7",1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
"BCRP8",0,0,0,0,1,1,0,5,0,0,0,0,0,0,0,0,1
"BCRP9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BCS1L",258,396,435,402,343,590,273,192,162,272,205,381,615,632,196,224,183
"BCYRN1",0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
"BDH1",268,336,366,299,369,924,329,146,255,309,286,435,734,776,161,240,203
"BDH2",85,87,92,96,141,239,94,22,46,82,33,121,146,200,73,112,60
"BDH2P1",0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0
"BDKRB1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BDKRB2",1,0,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0
"BDNF",1,0,1,2,0,2,0,0,1,0,1,1,0,1,1,0,3
"BDNF-AS",6,19,15,13,23,24,16,1,4,10,9,8,24,29,10,14,3
"BDP1",309,551,565,445,490,1018,404,272,335,308,403,725,1120,1181,215,377,237
"BDP1P",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BEAN1",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"BEAN1-AS1",0,2,9,3,4,14,2,1,3,3,8,4,6,4,10,2,5
"BECN1",1345,2028,2354,1967,1550,3066,1374,1301,1401,1635,1461,1744,3176,3493,1309,1618,1090
"BECN1P2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BECN2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BEGAIN",7,7,1,9,7,21,8,7,19,2,17,7,4,76,7,17,1
"BEND2",61,130,180,212,241,195,49,84,69,147,121,144,201,224,157,189,191
"BEND3",23,24,49,46,28,66,28,18,27,27,28,48,47,63,14,12,20
"BEND3P1",1,10,1,2,2,2,1,1,0,1,0,2,7,2,1,0,0
"BEND3P2",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
"BEND3P3",0,0,0,0,0,0,0,0,0,0,0,20,36,0,0,4,0
"BEND4",44,127,54,71,55,149,38,36,67,56,50,91,141,197,26,21,19
"BEND5",57,83,58,72,70,180,33,38,58,69,54,66,151,128,39,59,37
"BEND6",3,2,2,4,4,4,1,1,0,1,2,5,9,9,0,7,0
"BEND7",8,8,42,27,11,19,13,32,22,9,17,15,22,73,24,45,10
"BEND7-DT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BEND7P1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BEST1",404,1028,1079,921,466,1048,766,1025,486,662,648,416,653,1489,514,687,299
"BEST2",2,5,5,1,3,1,0,2,4,0,2,0,1,3,0,6,0
"BEST3",0,0,0,1,1,0,0,1,0,0,1,1,1,0,0,1,1
"BEST4",7,11,13,13,12,16,6,5,4,8,2,17,37,24,8,18,15
"BET1",260,263,347,255,307,734,284,121,184,225,209,402,613,549,213,294,182
"BET1-AS1",0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0
"BET1L",1375,2090,2541,1911,1151,3042,1137,1193,1050,1418,1562,1915,3375,2992,1027,1357,1168
"BET1P1",7,4,8,7,3,8,2,4,0,0,1,3,14,15,2,1,0
"BETALINC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BEX1",6,9,3,5,10,4,2,2,5,4,1,1,8,3,1,1,1
"BEX2",102,105,128,88,124,327,114,36,36,69,47,100,193,235,75,87,64
"BEX3",272,178,245,353,623,502,179,99,127,219,148,255,436,296,416,144,175
"BEX4",350,395,542,396,518,1002,286,154,192,327,258,370,615,628,270,275,262
"BEX5",20,31,43,24,20,84,18,12,4,34,11,19,48,36,13,17,15
"BFAR",635,839,1037,871,697,1496,591,432,469,636,611,798,1591,1388,539,586,504
"BFSP1",10,11,15,49,5,10,3,7,23,7,5,6,6,87,14,16,13
"BFSP2",9,2,6,9,1,15,7,4,2,5,5,5,10,6,5,6,0
"BFSP2-AS1",1,10,4,2,3,6,9,3,3,8,8,4,6,10,2,13,5
"BGLAP",13,21,27,26,29,28,28,12,11,17,17,16,19,31,15,22,3
"BGLT3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BGN",0,0,2,28,0,17,1,0,2,0,0,3,0,3,0,1,0
"BHLHA15",8,5,2,16,7,8,5,17,5,2,7,13,25,7,13,4,2
"BHLHA9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BHLHE22",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BHLHE22-AS1",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"BHLHE23",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BHLHE40",1056,1597,1853,1657,1002,1501,1233,1445,1172,1168,1760,1178,2197,2587,1138,1164,793
"BHLHE40-AS1",26,17,17,30,4,29,14,22,8,23,15,26,37,54,12,8,7
"BHLHE41",54,86,37,51,34,43,35,83,40,27,31,76,151,89,38,17,16
"BHMT",0,0,8,0,0,1,0,0,0,0,0,0,0,7,0,0,0
"BHMT2",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"BICC1",0,4,10,2,2,3,6,4,1,2,2,5,3,4,1,0,5
"BICD1",90,139,136,154,104,308,136,74,81,76,78,205,295,252,83,87,63
"BICD1-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BICD1P1",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"BICD2",986,2025,1966,1941,1568,2175,1252,1350,1250,1391,1494,1533,2662,3731,1116,1344,877
"BICDL1",572,752,816,549,547,1225,573,303,343,377,446,900,1509,1048,286,385,291
"BICDL2",12,19,35,3,3,13,11,18,20,23,39,22,36,49,26,36,9
"BICDL3P",0,0,0,4,0,3,0,1,0,2,0,1,0,2,2,0,3
"BICRA",347,553,624,516,382,571,341,379,419,402,447,583,952,893,255,371,200
"BICRA-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BICRA-AS2",9,10,16,20,13,18,12,7,9,17,10,21,25,15,4,25,6
"BICRAL",732,1210,1219,1167,823,1548,773,797,935,837,1221,1285,1913,2270,656,723,529
"BID",1457,2068,3182,1953,1359,2586,1489,2858,1614,2062,1426,1282,2286,3329,1445,1928,1436
"BIK",51,58,34,59,18,49,24,48,41,62,54,50,78,65,38,39,24
"BIN1",1917,3003,2969,2743,1951,4522,2226,1473,1205,1943,1523,3257,5837,4703,1026,1405,1226
"BIN2",6758,9709,10843,10042,7265,11480,6809,7715,6258,7649,6653,7077,12699,16744,6212,7933,4873
"BIN2P1",4,4,0,2,0,5,2,2,1,0,2,1,1,2,1,0,0
"BIN2P2",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"BIN3",671,966,1388,940,580,1349,669,749,675,787,838,832,1548,1661,742,839,529
"BIRC2",818,1127,1205,980,1144,2714,1039,578,806,810,928,1148,1885,2197,820,979,670
"BIRC3",1271,2163,1812,1877,2096,6206,1971,997,1477,2077,1324,2856,4563,5028,1249,1307,1152
"BIRC5",45,16,23,42,11,52,30,35,13,24,42,34,49,19,52,22,12
"BIRC6",934,1747,1630,1610,1479,2370,1080,993,1260,951,1484,1765,2942,3329,682,1056,820
"BIRC6-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BIRC6-AS2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BIRC7",0,0,1,1,0,0,4,0,0,0,0,0,1,5,0,3,0
"BIRC8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BISPR",204,256,339,218,149,482,259,164,242,241,140,431,696,414,246,212,181
"BIVM",84,130,136,109,100,237,102,57,45,105,59,133,199,214,66,61,55
"BIVM-ERCC5",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"BLACAT1",0,3,2,3,0,10,0,0,1,4,0,5,8,7,1,1,0
"BLACE",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"BLCAP",1396,1751,2034,1937,1328,2963,1234,1085,1112,1426,1364,1833,3282,3395,1046,1240,897
"BLID",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BLK",640,1517,916,1283,856,1903,652,983,863,1232,873,1241,2130,2267,747,710,622
"BLK-AS1",2,6,3,6,0,8,2,6,1,0,1,0,0,3,4,1,2
"BLM",146,171,178,216,127,307,113,99,146,128,193,239,387,369,121,103,95
"BLMH",513,630,808,772,594,1161,409,385,419,477,444,664,1282,1023,439,439,395
"BLNK",292,526,274,468,314,875,207,279,342,439,388,638,1036,962,300,241,208
"BLOC1S1",159,130,195,150,170,331,124,101,150,156,96,174,306,303,165,215,136
"BLOC1S2",395,432,454,480,802,1135,464,359,366,502,279,554,828,1133,436,900,398
"BLOC1S2P1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BLOC1S3",614,694,913,741,487,980,390,531,529,509,517,662,1135,1091,433,515,360
"BLOC1S4",396,357,623,400,276,637,275,268,200,334,261,382,703,577,218,279,174
"BLOC1S5",196,242,277,268,270,578,206,112,157,231,206,307,536,535,163,250,149
"BLOC1S5-TXNDC5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BLOC1S6",671,881,1076,939,855,2008,757,502,578,688,698,1075,1755,1939,643,776,498
"BLOC1S6P1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BLTP1",690,1445,1249,1146,1158,1944,878,793,973,742,1254,1411,2364,2964,553,857,475
"BLTP2",1788,2826,3033,3002,1968,3876,1855,1774,1884,1993,2869,3624,5601,5462,1479,1668,1545
"BLTP3A",274,355,421,440,326,490,154,176,235,214,296,501,745,638,156,214,168
"BLTP3B",343,644,838,577,404,846,601,502,538,412,600,575,909,1430,315,555,322
"BLTP3B-DT",1,4,0,3,0,3,0,3,3,1,0,5,5,7,0,3,6
"BLVRA",458,603,956,612,387,853,544,418,451,514,404,773,1309,855,675,437,564
"BLVRB",2318,3129,5123,5170,2270,1993,2170,2091,3506,3885,3068,1108,1930,3641,5960,2899,4459
"BLVRBP1",0,0,3,4,1,12,2,2,4,4,1,1,6,7,3,4,1
"BLZF1",199,270,282,284,324,559,230,132,170,175,159,302,501,560,190,214,170
"BLZF2P",3,7,9,5,0,4,5,3,3,7,7,2,6,10,4,2,0
"BMAL1",613,1160,1273,1048,792,1492,838,760,656,667,882,868,1427,1931,664,724,502
"BMAL2",8,12,19,9,16,30,32,27,14,10,32,14,17,25,17,8,11
"BMAL2-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BMERB1",21,25,68,52,24,49,7,7,7,22,8,15,23,61,6,18,7
"BMF",617,1153,1210,1041,612,1217,637,806,760,780,834,1025,1651,1930,708,798,631
"BMF-AS1",0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,2
"BMI1",346,422,604,339,515,1024,373,254,256,336,251,554,880,1048,176,406,250
"BMI1P1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BMP1",70,108,121,100,82,209,79,61,48,88,80,117,190,149,41,47,52
"BMP10",0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
"BMP15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BMP2",2,2,10,12,3,12,3,8,15,1,4,3,6,4,6,8,2
"BMP2K",573,1062,1214,1095,788,1237,974,912,971,766,1092,1008,1551,2057,771,696,635
"BMP2K-DT",2,1,1,0,0,1,0,2,0,0,0,3,0,2,0,0,1
"BMP2KL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BMP3",6,11,3,14,3,40,4,3,36,32,37,18,28,39,15,9,9
"BMP4",0,8,3,5,2,12,6,2,2,0,3,2,10,12,1,4,2
"BMP5",0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"BMP6",138,128,206,380,594,187,119,198,169,157,132,118,156,249,217,177,213
"BMP6P1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BMP7",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1
"BMP7-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BMP8A",1,5,2,2,0,0,3,6,2,0,2,2,9,1,1,4,1
"BMP8B",50,37,43,94,16,54,42,83,28,53,48,39,89,115,54,22,12
"BMPER",0,0,4,2,2,4,0,0,1,0,0,1,1,3,1,0,4
"BMPR1A",36,69,93,68,52,157,74,36,43,65,31,95,136,154,36,54,24
"BMPR1AP1",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"BMPR1AP2",0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"BMPR1B",1,0,0,1,0,4,7,0,0,0,1,2,7,1,0,0,1
"BMPR1B-DT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BMPR2",247,437,523,332,312,724,341,225,300,229,374,480,839,755,237,307,234
"BMS1",621,896,788,871,727,1241,584,358,498,603,672,900,1575,1364,449,403,441
"BMS1P1",28,20,19,16,7,39,33,8,20,16,13,50,81,38,8,16,12
"BMS1P10",2,3,0,4,6,5,2,0,0,5,0,2,0,2,0,1,0
"BMS1P11",0,0,1,0,0,3,0,0,0,0,0,0,1,0,0,0,0
"BMS1P12",0,0,0,0,2,0,0,0,0,0,1,1,1,0,0,0,0
"BMS1P13",1,0,0,0,0,1,3,0,0,1,0,1,0,1,0,3,0
"BMS1P14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BMS1P15",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"BMS1P16",0,0,0,0,4,2,1,0,0,0,0,0,5,0,0,0,0
"BMS1P17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BMS1P19",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"BMS1P2",0,1,3,4,5,3,1,1,2,5,0,6,1,13,1,1,3
"BMS1P20",9,31,11,13,33,69,16,16,18,16,7,42,58,106,16,18,18
"BMS1P21",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BMS1P22",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BMS1P3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BMS1P4",4,8,9,5,10,15,7,5,5,4,4,7,12,9,0,5,4
"BMS1P4-AGAP5",0,2,0,2,1,1,0,0,0,0,0,0,0,0,0,1,0
"BMS1P7",0,1,0,1,0,0,0,0,0,0,0,0,1,0,2,2,0
"BMS1P8",2,0,5,2,5,4,21,0,0,7,0,2,2,1,1,3,2
"BMS1P9",3,0,2,0,2,13,0,0,0,0,0,0,0,1,0,0,0
"BMX",25,69,123,60,23,50,13,86,32,58,78,28,37,177,37,105,20
"BNAT1",1,1,3,6,11,0,0,0,4,3,0,0,0,0,0,0,6
"BNC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BNC2",23,11,29,17,28,19,4,2,12,11,10,15,13,52,17,14,3
"BNC2-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BNIP1",94,136,123,105,104,220,80,68,45,83,55,104,199,147,120,76,67
"BNIP2",1612,2290,3162,2173,2021,3915,1920,1823,1690,1813,1756,2370,3624,4792,1395,1979,1316
"BNIP3",222,265,265,216,328,735,301,112,138,184,141,341,548,424,178,178,142
"BNIP3L",2173,3759,3837,4070,3112,4103,3706,2783,2897,3076,3751,2389,4257,5707,4784,3222,2692
"BNIP3P1",0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"BNIP3P10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BNIP3P11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BNIP3P13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BNIP3P14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BNIP3P15",0,4,1,2,0,1,1,1,0,0,0,2,2,1,0,3,0
"BNIP3P16",0,0,0,1,0,0,0,0,0,0,0,0,3,1,0,0,1
"BNIP3P17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BNIP3P18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BNIP3P19",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BNIP3P2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BNIP3P20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BNIP3P22",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BNIP3P23",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BNIP3P24",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BNIP3P25",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BNIP3P26",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BNIP3P27",0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
"BNIP3P28",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BNIP3P29",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BNIP3P3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BNIP3P30",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BNIP3P31",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BNIP3P32",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BNIP3P33",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BNIP3P34",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BNIP3P35",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BNIP3P36",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BNIP3P37",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BNIP3P38",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BNIP3P39",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BNIP3P4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BNIP3P40",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BNIP3P41",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"BNIP3P42",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BNIP3P43",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BNIP3P44",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BNIP3P45",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"BNIP3P46",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BNIP3P47",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BNIP3P5",0,0,0,0,4,2,1,0,1,1,0,1,7,1,0,0,0
"BNIP3P6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BNIP3P7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BNIP3P8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BNIP3P9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BNIP5",0,0,1,0,0,2,0,0,0,0,0,6,2,0,0,2,2
"BNIPL",39,48,44,46,60,106,46,51,43,36,56,39,80,94,34,41,26
"BOC",0,1,1,0,0,0,0,3,0,0,1,1,0,2,0,1,1
"BOD1",226,331,288,294,296,694,215,124,159,242,158,281,495,479,187,242,163
"BOD1L1",1161,2292,2205,2158,1625,2555,1605,1945,1902,1430,2367,1754,2738,5116,1052,1767,915
"BOD1L2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BOD1P1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BOD1P2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"BOK",59,67,194,206,35,22,4,7,34,55,48,18,32,39,18,105,18
"BOK-AS1",5,0,3,3,3,0,0,0,1,0,1,0,1,0,0,0,0
"BOLA1",194,219,266,252,173,346,144,55,84,180,102,160,319,290,143,171,122
"BOLA2",0,0,0,0,0,2,2,1,1,1,0,2,0,4,1,4,1
