Gene	GSM3288223_Sample_01-H_dLCC	GSM3288226_Sample_02-H_dRoDeAA	GSM3288228_Sample_03-H_dZC	GSM3288231_Sample_04-H_dTG	GSM3288234_Sample_05-H_dPF	GSM3288237_Sample_06-H_dGiAg	GSM3288240_Sample_07-H_dLePe	GSM3288243_Sample_08-H_dNB	GSM3288245_Sample_09-H_tripletC	GSM3288248_Sample_10-H_tripletH	GSM3288251_Sample_11-H_tripletQ	GSM3288254_Sample_12-H_tripletW	GSM3288257_Sample_13-H_tripletS	GSM3288260_Sample_14-H_tripletA	GSM3288263_Sample_15-H_tripletG	GSM3288266_Sample_16-H_tripletJ	GSM3288273_Sample_18-H_tripletT
GMPPB	547	234	442	237	303	175	119	138	191	482	440	536	357	578	336	575	675
GMPR	3379	4277	5215	2784	337	4139	1250	3264	1685	4698	3665	11604	5111	5464	11138	7155	7789
GMPR2	1122	1413	885	678	661	438	295	292	108	406	506	678	288	550	435	733	884
GMPS	670	2640	2010	614	308	631	191	356	538	2175	2151	3596	1510	2241	1850	3698	4413
GNA11	146	177	344	153	130	95	50	106	94	278	224	443	153	327	235	339	636
GNA12	871	1590	1398	827	515	527	277	441	461	1102	1156	3489	1199	1361	1975	2395	2967
GNA13	210	443	788	498	274	177	39	63	166	653	652	1550	428	654	931	1029	1276
GNA14	9	5	2	0	2	1	4	0	0	2	0	1	0	0	2	0	1
GNA14-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GNA15	3995	2765	3275	2730	2914	2245	1899	1661	183	142	309	163	579	606	107	410	866
GNAI1	17	90	76	20	3	14	9	2	7	8	10	9	14	12	2	17	15
GNAI2	9871	5973	6474	6740	12504	4682	3901	4206	727	1245	1566	1943	1845	2650	1261	1891	3310
GNAI3	485	1387	1477	689	477	577	150	241	417	899	1209	1620	1212	1153	1297	1941	1981
GNAL	15	14	15	21	21	15	8	11	18	21	38	35	25	46	17	28	77
GNAO1	4	3	0	1	2	2	1	1	1	5	1	6	1	0	3	5	3
GNAQ	531	1203	835	655	593	380	118	192	121	610	745	820	555	570	411	1011	1081
GNAS	10043	13249	13734	7636	6152	5334	2283	2836	1108	9705	7955	18250	5579	10079	11381	12886	21276
GNAS-AS1	0	5	3	5	3	2	3	2	2	5	3	1	4	7	0	3	3
GNAT1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
GNAT2	1	3	2	0	1	1	0	0	3	1	0	2	2	5	6	4	0
GNAT3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GNAZ	9	100	11	2	3	12	15	52	99	67	55	104	31	106	11	42	91
GNB1	4072	4029	4242	2868	3294	1961	1198	1516	781	2697	2637	4348	2509	3065	2824	4129	4971
GNB1L	273	209	209	160	348	159	148	168	71	146	145	159	184	210	68	194	205
GNB2	7335	5062	6954	5398	7739	6569	3427	5857	4085	9753	7809	10132	9563	12352	9375	12813	13394
GNB2L1	71841	52954	34335	31830	40572	43544	31682	38074	18262	27127	32939	28871	37916	42816	17848	41786	48751
