Gene	GSM3288224_Sample_01-TI_Fe73	GSM3288229_Sample_03-TITD_Fe46	GSM3288232_Sample_04-TITD_Fe50	GSM3288235_Sample_05-TITD_Fe80	GSM3288238_Sample_06-TITD_Fe28	GSM3288241_Sample_07-TI_Fe77	GSM3288246_Sample_09-TITD_tripletC	GSM3288249_Sample_10-TI_tripletH	GSM3288252_Sample_11-TITD_tripletQ	GSM3288255_Sample_12-TITD_tripletW	GSM3288256_Sample_12-TITD_exTM_tripletW	GSM3288258_Sample_13-TITD_tripletS	GSM3288261_Sample_14-TI_tripletA	GSM3288264_Sample_15-TITD_tripletG	GSM3288268_Sample_16-TITD_tripletJ	GSM3288276_Sample_18-TI_tripletT
A1BG	264	32	11	6	26	195	24	50	11	3	5	652	9	29	13	6
A1BG-AS1	0	6	3	3	5	13	3	0	3	0	2	16	1	4	0	1
A1CF	0	0	0	2	0	0	0	3	3	0	1	1	0	1	4	0
A2M	87	8	5	2	10	99	64	47	2	10	15	801	16	95	67	15
A2M-AS1	0	0	1	1	1	5	0	0	0	0	0	15	0	1	0	0
A2ML1	15	3	7	17	14	25	8	26	20	10	89	27	6	21	8	16
A2MP1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
A3GALT2	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0
A4GALT	709	566	898	1098	1632	935	1255	1635	8804	1334	2772	4109	4566	10732	4039	3663
A4GNT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AA06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AAAS	2007	1254	1090	2195	1480	1425	671	418	1769	557	1385	1898	1302	2382	1512	1409
AACS	357	873	581	621	743	859	45	30	130	66	160	268	164	275	158	210
AACSP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADAC	32	53	15	31	38	0	0	0	0	0	0	0	1	0	0	0
AADACL2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADACL2-AS1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
AADACL3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADACL4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADACP1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
AADAT	21	17	15	29	25	3	0	0	1	0	4	1	4	1	3	0
AAED1	5	152	91	84	118	91	3	3	6	6	15	85	17	39	20	9
AAGAB	1105	1076	672	981	844	675	654	391	1542	586	860	1831	921	1496	1493	1182
AAK1	468	332	352	418	358	648	204	159	282	1986	678	1051	284	440	551	853
AAMDC	1141	157	218	210	203	202	645	637	1254	364	286	1926	482	1163	773	541
AAMP	629	1824	1327	1919	1764	2133	559	409	1550	1497	1517	2595	1282	2501	1785	1827
AANAT	0	2	0	0	2	0	0	0	0	0	1	7	0	0	1	1
AAR2	726	841	511	750	664	716	198	158	554	366	272	1073	448	792	473	546
AARD	8	3	3	1	0	2	4	4	1	1	1	8	1	1	2	2
AARS	2634	2884	2125	3943	3461	7184	4640	4240	12006	4308	12639	7110	7143	32534	6976	8734
AARS2	1754	439	301	722	512	465	268	162	569	142	323	737	426	648	418	443
AARSD1	0	21	18	27	21	13	5	3	10	2	12	19	13	41	15	11
AASDH	166	141	144	162	155	175	51	42	263	115	304	282	136	314	242	235
AASDHPPT	115	577	433	754	587	201	117	63	309	157	372	457	285	559	516	294
AASS	193	178	238	239	256	119	37	61	220	181	365	89	116	207	204	230
AATBC	0	2	5	3	2	4	0	1	1	0	0	12	3	6	2	2
AATF	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AATK	85	3	3	4	5	87	4	2	1	1	5	154	5	34	13	3
AATK-AS1	0	0	0	0	1	1	1	0	1	0	0	0	0	0	0	0
ABALON	1	39	25	19	28	26	4	4	4	88	209	10	19	18	28	55
ABAT	0	47	51	48	62	22	6	7	28	43	75	45	29	50	14	34
ABCA1	0	78	116	16	82	18	8	7	9	2	20	86	12	83	38	7
ABCA10	0	7	3	3	8	4	0	0	1	1	2	2	1	9	5	2
ABCA11P	43	22	25	66	36	34	30	5	51	9	37	94	30	116	54	34
ABCA12	0	1	1	1	0	1	0	0	0	0	0	1	1	0	0	0
ABCA13	34	4	2	9	4	26	8	12	13	9	4	155	5	9	6	7
ABCA17P	0	1	0	1	1	0	1	0	3	0	2	3	2	2	0	2
ABCA2	1051	239	108	99	116	355	24	20	27	4	15	598	41	57	14	7
ABCA3	108	66	14	12	17	40	4	0	6	1	2	42	2	20	0	2
ABCA4	0	2	3	25	5	7	2	1	10	1	4	6	2	8	2	7
ABCA5	97	115	91	204	141	136	21	24	97	42	133	181	77	331	208	88
ABCA6	19	0	0	1	2	3	0	0	0	2	2	1	0	0	0	3
ABCA7	9673	711	822	2283	1163	2271	5539	7954	12743	1643	3462	8027	4613	5295	4165	3885
ABCA8	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ABCA9	26	1	2	8	4	7	3	3	11	7	10	21	8	16	10	14
ABCA9-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCB1	0	8	0	10	1	16	0	0	0	1	7	26	1	0	0	3
ABCB10	16	1189	1291	3025	1883	382	1307	1129	5402	3432	11164	2822	4058	9124	9252	6198
ABCB11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCB4	2	4	17	23	31	9	0	16	86	2	169	107	20	108	12	152
ABCB5	31	14	20	49	32	74	30	27	31	139	204	28	31	61	57	87
ABCB6	3528	875	1293	2857	1889	2497	4062	4790	8065	10367	9144	4212	4894	6991	7446	8413
ABCB7	378	526	508	495	698	476	268	282	1048	685	1315	995	686	1640	1290	1129
ABCB8	1706	987	744	1146	1088	1050	1066	892	2153	572	910	1967	1429	1875	1485	1417
ABCB9	328	155	115	152	122	184	117	97	132	28	57	257	64	213	108	85
ABCC1	208	73	61	86	55	62	15	8	24	13	16	340	25	48	29	18
ABCC10	388	235	191	294	233	286	29	8	86	42	97	190	128	221	87	115
ABCC11	14	0	2	1	0	0	0	0	1	1	0	0	0	2	0	0
ABCC12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCC13	11	26	153	89	57	357	33	123	41	572	759	208	42	61	891	410
ABCC2	18	5	3	4	4	12	0	0	2	5	8	30	1	0	1	1
ABCC3	99	4	17	11	16	324	29	13	9	4	17	43	20	84	32	7
ABCC4	196	1320	879	843	1178	975	134	84	474	1984	2165	809	657	1482	1355	1641
ABCC5	2757	848	850	2650	1224	1484	1620	1144	3791	1443	2958	3225	2421	5300	3019	2933
ABCC5-AS1	0	1	1	2	2	0	2	0	6	1	0	1	2	1	3	5
ABCC6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCC6P1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ABCC6P2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCC8	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ABCC9	29	5	7	7	6	6	10	24	36	11	14	69	5	7	10	17
ABCD1	435	67	66	62	77	288	48	48	20	13	28	634	53	80	39	22
ABCD2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ABCD3	146	474	340	499	413	180	90	49	264	115	414	375	290	428	447	328
ABCD4	674	299	236	411	325	491	104	44	289	461	271	724	200	284	252	290
ABCE1	184	1644	942	2229	1350	432	252	111	664	228	650	976	751	1143	1029	686
ABCF1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCF2	1580	1578	1035	1202	1221	1165	604	252	1099	569	761	1538	908	1368	1155	1109
ABCF3	760	535	411	693	596	992	381	148	536	207	409	1653	405	714	460	433
ABCG1	0	0	2	0	1	18	1	3	0	3	13	25	5	26	11	12
ABCG2	11	86	144	328	169	111	164	160	374	1227	1748	349	414	788	1032	1131
ABCG4	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2
ABCG5	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0
ABCG8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABHD1	24	5	2	3	1	4	4	1	4	0	0	20	2	6	0	1
ABHD10	766	375	313	375	405	513	293	236	664	109	318	1261	385	1038	567	352
ABHD11	1958	411	317	509	375	396	148	189	402	66	150	475	254	425	275	213
ABHD11-AS1	21	7	3	5	9	5	5	1	3	1	0	14	2	1	2	1
ABHD12	2847	602	438	777	645	1503	805	915	1558	344	656	2545	923	1488	1130	1010
ABHD12B	9	0	0	0	1	4	1	0	0	0	0	16	1	1	0	0
ABHD13	25	235	205	277	233	108	62	30	176	181	307	301	176	301	364	231
ABHD14A	698	146	128	151	149	237	36	25	47	13	16	315	58	96	46	30
ABHD14A-ACY1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABHD14B	4633	1452	1125	1297	1448	1669	772	751	1369	164	370	3482	824	1496	821	433
ABHD15	127	99	49	64	64	211	21	20	32	11	22	238	14	52	30	22
ABHD16A	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0
ABHD16B	447	93	67	253	110	200	62	39	100	31	66	369	103	172	92	84
ABHD17A	832	466	385	512	512	957	369	255	905	275	409	1286	593	570	647	481
ABHD17B	25	237	137	154	175	140	20	18	59	62	114	238	66	163	110	71
ABHD17C	99	37	18	34	36	174	2	5	10	1	8	302	8	13	12	5
ABHD2	500	1177	678	807	839	785	394	315	1028	342	1534	1906	778	2344	1341	1021
ABHD3	0	71	41	69	73	74	11	9	76	37	145	75	96	151	277	115
ABHD4	198	861	735	774	948	1259	112	100	335	1773	2074	538	322	520	806	967
ABHD5	159	658	616	1317	794	1341	818	443	1912	2611	3407	2304	1641	3593	2573	2519
ABHD6	151	87	50	35	61	82	5	0	5	2	6	76	16	14	17	4
ABHD8	234	193	150	187	247	515	135	66	291	107	147	1149	282	225	224	195
ABI1	145	710	454	706	710	474	114	71	360	396	736	922	358	953	571	538
ABI2	611	632	470	754	673	377	197	221	502	292	509	497	436	1043	520	470
ABI3	297	14	10	7	27	291	84	69	20	25	40	1258	55	166	126	37
ABI3BP	0	13	6	4	4	3	0	1	1	1	2	1	3	7	4	2
ABL1	617	1025	656	1203	900	660	106	42	280	145	526	470	364	963	328	372
ABL2	268	212	138	134	151	232	54	60	71	27	34	321	39	92	51	39
ABLIM1	392	529	394	429	519	667	36	31	22	512	337	378	62	143	92	239
ABLIM2	0	0	0	0	1	0	0	0	0	1	2	1	0	1	1	0
ABLIM3	142	140	40	20	79	46	3	7	1	1	3	1	6	30	2	1
ABO	19	98	23	58	53	22	2	0	1	1	0	6	4	10	2	3
ABR	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
ABRA	0	1	0	1	2	1	0	2	2	1	0	2	0	1	1	2
ABRACL	506	703	453	994	871	754	66	31	116	40	102	1539	160	246	143	118
ABT1	277	785	538	939	693	650	208	73	568	314	497	889	427	543	669	577
ABTB1	698	301	438	452	399	1570	471	1141	1101	3356	1621	4400	705	1205	1259	1333
ABTB2	90	44	122	105	105	38	6	2	8	4	10	62	9	15	4	8
ACAA1	2707	797	616	970	786	1355	425	230	672	256	295	3151	548	842	725	528
ACAA2	380	1175	733	996	979	1103	277	149	717	301	370	1421	1197	1608	1448	897
ACACA	47	3	2	10	6	2	4	2	12	0	1	6	12	2	3	8
ACACB	379	93	92	62	83	101	12	19	41	8	27	189	32	48	26	12
ACAD10	898	345	283	344	409	553	118	79	364	152	326	451	339	630	296	308
ACAD11	0	3	3	0	4	0	0	0	1	0	3	1	0	2	0	1
ACAD8	61	356	255	402	370	309	58	42	208	75	245	455	195	411	262	213
ACAD9	1213	984	705	997	903	956	473	431	1216	322	717	1484	935	1812	1050	934
ACADL	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0
ACADM	1	667	534	574	667	174	45	45	197	187	663	265	314	929	551	529
ACADS	1557	431	285	498	681	1622	2268	1888	1308	647	1604	2452	2301	2561	1821	1848
ACADSB	265	259	214	214	207	146	59	31	149	59	173	263	131	270	199	141
ACADVL	18631	5227	4432	5940	5789	11076	4775	3125	9549	3751	5460	9880	8440	15340	10462	7721
ACAN	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
ACAP1	6096	858	664	717	893	1928	370	559	853	228	397	2790	490	701	488	442
ACAP2	66	641	445	369	589	230	64	67	209	389	732	446	308	1096	623	498
ACAP3	4126	583	409	1189	562	1194	630	583	1052	220	587	1935	875	1456	785	745
ACAT1	548	2027	1526	1619	1780	1300	1241	874	2947	761	1639	3771	2735	6377	3091	2657
ACAT2	602	2029	1355	1806	1477	1772	338	237	1030	322	809	1410	713	938	1098	1012
ACBD3	74	470	252	205	371	153	92	60	176	127	195	375	142	303	247	152
ACBD4	291	139	199	255	217	405	85	75	328	109	157	414	168	276	175	175
ACBD5	23	165	115	141	135	94	35	29	98	59	148	202	114	257	194	131
ACBD6	903	989	652	1115	821	980	280	195	622	174	280	2102	532	1184	682	598
ACBD7	79	49	51	44	66	33	34	18	57	16	33	77	23	93	32	34
ACCS	1165	175	146	171	270	1149	40	160	102	64	15	943	74	176	50	96
ACCSL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACD	908	615	476	613	627	801	522	382	1265	196	289	1307	781	873	863	695
ACE	502	85	37	79	85	334	14	9	6	3	6	23	8	13	1	5
ACE2	0	0	3	4	3	2	2	0	2	5	1	5	0	2	1	1
ACER1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ACER2	0	8	1	5	5	2	2	2	15	2	9	6	10	7	10	6
ACER3	542	270	174	311	235	260	154	222	415	131	313	1205	285	566	518	346
ACHE	153	230	538	1809	637	1092	1404	898	4125	2230	6319	873	2887	4041	2603	4503
ACIN1	3195	2983	2246	4407	2782	3629	1570	866	3580	2379	3256	5049	2772	3966	3082	3045
ACKR1	297	330	483	590	773	535	2773	4179	8859	2657	3481	3056	1982	2846	5185	2362
ACKR2	77	25	18	21	14	17	12	14	27	29	26	49	12	34	20	17
ACKR3	0	0	0	0	0	0	0	0	1	0	3	1	0	3	0	0
ACKR4	0	0	0	1	1	1	0	0	1	0	1	0	0	0	0	2
ACLY	3631	3303	1898	3145	2275	1953	479	342	1414	470	1498	1631	1023	1486	1393	1171
ACMSD	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1
ACO1	308	751	467	401	614	448	129	84	302	99	311	645	273	525	327	288
ACO2	41	1110	795	575	950	763	84	53	299	412	1314	314	588	1090	552	939
ACOT1	0	10	13	20	28	12	0	0	4	4	1	7	1	25	4	11
ACOT11	214	48	28	19	34	80	3	7	8	2	7	114	10	11	5	4
ACOT12	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ACOT13	1522	619	398	838	662	602	184	94	560	309	368	682	528	1085	761	675
ACOT2	153	220	116	139	184	141	7	9	32	19	20	81	43	135	30	20
ACOT4	16	39	25	47	34	47	5	1	5	2	1	20	10	45	2	5
ACOT6	0	1	0	1	3	0	0	0	0	0	1	5	0	0	0	0
ACOT7	674	1543	987	1453	1149	949	435	253	1128	323	727	1258	1194	1185	1524	1144
ACOT8	202	354	339	320	397	647	479	379	982	386	412	1192	720	998	815	663
ACOT9	1463	460	371	514	450	422	118	39	190	66	124	670	181	349	241	159
ACOX1	1180	441	384	579	484	647	251	162	537	259	410	1006	371	980	436	426
ACOX2	1	3	5	2	11	12	3	0	0	1	2	14	2	5	1	0
ACOX3	284	143	142	156	158	231	127	87	223	66	131	394	148	270	166	165
ACOXL	0	0	0	1	1	4	0	0	1	5	0	1	1	3	1	1
ACP1	1054	1648	1182	2848	1576	1113	1111	1195	3967	3077	4688	3099	2226	4071	4741	4482
ACP2	1411	382	289	424	366	796	314	345	906	270	518	1444	495	861	630	621
ACP5	421	143	182	94	167	1680	485	390	235	627	748	1016	429	601	697	507
ACP6	1	32	35	31	35	140	7	3	18	1	3	182	13	40	14	5
ACPP	1	87	85	4	35	73	1	3	4	11	16	183	2	29	11	7
ACPT	0	6	7	2	5	2	6	4	13	1	6	3	1	8	6	1
ACR	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ACRBP	55	84	49	65	72	218	9	2	27	33	35	73	8	39	22	21
ACRC	136	32	20	59	36	59	15	8	28	139	46	77	22	36	42	43
ACRV1	60	2	0	8	3	5	7	2	11	4	4	16	6	10	3	7
ACSBG1	10	45	42	249	192	213	46	42	101	38	58	228	99	445	128	59
ACSBG2	0	0	0	4	3	3	1	0	0	3	2	1	4	4	3	3
ACSF2	1336	111	176	72	128	314	71	77	166	23	58	534	133	277	98	50
ACSF3	793	257	262	335	417	711	552	479	1362	305	592	1716	644	1144	666	860
ACSL1	194	642	596	424	853	1634	85	64	261	195	835	1206	228	1005	444	348
ACSL3	136	565	589	475	598	472	57	44	236	86	482	259	213	369	377	318
ACSL4	500	1871	1645	860	2251	443	162	110	463	207	504	1278	525	1020	765	413
ACSL5	1678	964	644	714	771	806	430	148	1099	544	630	1291	758	1513	1148	826
ACSL6	7	52	190	568	249	123	198	104	740	2743	5291	193	488	613	1935	2535
ACSM1	6	4	5	14	20	49	19	15	26	27	44	187	17	107	44	22
ACSM2A	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0
ACSM2B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACSM3	19	131	175	102	112	419	11	3	19	805	82	342	27	119	45	48
ACSM4	11	0	0	0	0	1	1	0	0	0	1	0	0	1	0	0
ACSM5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACSM6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACSS1	3531	2592	2525	2288	2887	2144	2137	1516	4912	335	1442	4725	3067	5517	2435	1720
ACSS2	2154	1032	865	1137	1228	1946	498	593	1284	607	718	2045	651	1193	1315	1273
ACSS3	0	2	9	21	9	6	1	0	0	12	30	2	6	1	0	14
ACTA1	0	1	2	4	2	5	0	0	1	0	2	6	1	0	0	0
ACTA2	0	47	53	33	35	46	6	3	24	18	32	47	27	82	14	43
ACTA2-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ACTB	150743	61758	37454	73282	53991	71471	28706	18101	61741	19899	39920	197259	39694	55360	58090	45288
ACTBL2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTC1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTG1	16069	9912	5862	4627	8077	20985	1360	1066	1402	995	2110	42440	2684	8116	2724	1769
ACTG1P17	44	9	8	21	9	13	7	15	19	10	20	33	12	13	15	16
ACTG1P20	42	10	7	33	9	8	12	20	20	4	10	51	18	17	12	19
ACTG1P4	15	3	0	15	0	1	0	0	0	1	3	5	2	1	2	4
ACTG2	0	2	0	2	0	1	0	2	1	0	0	7	1	8	1	1
ACTL10	166	38	37	38	25	46	9	2	8	10	6	40	11	3	4	4
ACTL6A	70	1298	849	1814	1172	568	125	61	379	252	951	463	558	1254	836	738
ACTL6B	0	0	0	4	2	0	1	0	2	2	0	0	0	2	1	2
ACTL7A	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ACTL7B	7	0	1	3	0	1	1	0	2	0	0	3	0	0	1	1
ACTL8	0	3	0	0	2	1	0	0	0	0	0	0	0	0	0	0
ACTL9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTN1	598	496	239	510	430	1559	39	53	26	16	106	2231	53	266	86	39
ACTN1-AS1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
ACTN2	0	1	2	3	2	9	0	0	0	2	1	3	1	5	2	3
ACTN3	0	0	0	1	0	0	1	0	0	0	1	1	0	0	1	0
ACTN4	597	3714	2182	3396	3251	3200	762	457	1672	714	2946	1762	2141	3559	1543	2378
ACTR10	179	761	608	965	735	699	345	227	1372	1276	1504	1321	1045	1678	1951	1784
ACTR1A	4025	1837	1281	2357	1811	2948	2514	2632	6228	2991	4225	5684	2999	3916	5225	5019
ACTR1B	607	717	497	529	673	869	50	47	256	66	304	700	270	692	249	233
ACTR2	745	3134	1591	2269	2115	1225	255	176	603	399	1028	2172	760	1496	1335	816
ACTR3	1679	2980	1817	3160	2278	1615	835	756	2488	1652	4039	4644	2359	4877	3882	2715
ACTR3B	119	126	93	126	71	90	39	12	48	13	26	92	49	68	76	22
ACTR3BP2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTR3BP5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTR3C	0	8	3	0	3	4	0	0	0	0	0	5	0	0	1	0
ACTR5	438	223	209	307	241	263	120	78	319	247	216	482	281	395	271	286
ACTR6	52	295	215	302	293	160	54	47	237	169	299	282	210	424	433	335
ACTR8	906	242	185	295	202	230	96	79	230	60	124	537	161	166	211	144
ACTRT1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTRT2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTRT3	31	13	16	40	20	25	6	9	40	26	62	52	24	32	43	48
ACVR1	37	94	34	38	58	80	5	1	7	16	39	49	9	36	11	10
ACVR1B	237	351	132	142	189	250	5	5	14	13	16	182	12	31	8	20
ACVR1C	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
ACVR2A	0	21	12	9	10	18	0	0	1	3	1	12	1	9	4	1
ACVR2B	21	49	22	44	43	60	21	29	59	15	49	106	33	79	29	33
ACVR2B-AS1	0	1	2	3	9	6	2	0	5	2	0	2	4	6	8	2
ACVRL1	23	10	10	3	26	103	26	26	10	12	17	101	19	49	16	20
ACY1	0	38	22	17	35	27	3	0	1	1	4	8	7	12	8	8
ACY3	31	0	1	0	0	24	0	1	0	0	0	14	0	0	1	0
ACYP1	105	146	141	336	178	259	60	40	388	137	311	227	391	958	591	354
ACYP2	96	52	40	113	62	96	31	50	71	35	38	139	81	87	94	58
ADA	451	56	45	101	96	889	175	167	221	19	220	3547	409	516	314	202
ADAD1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADAD2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADAL	290	211	155	322	220	144	106	87	467	126	327	267	347	721	505	363
ADAM10	167	796	388	508	531	502	107	64	225	206	334	1241	241	543	370	267
ADAM11	21	0	6	3	7	21	1	3	4	2	12	77	7	20	2	1
ADAM12	0	28	2	0	1	1	0	0	0	6	1	25	3	0	3	1
ADAM15	2130	1243	774	1155	1169	1609	716	437	1204	346	843	2812	735	1033	860	784
ADAM17	33	173	88	158	147	91	4	12	15	46	123	85	32	77	59	56
ADAM18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADAM19	0	0	0	0	1	3	1	0	0	1	2	11	0	2	8	1
ADAM1A	0	53	27	98	40	48	2	3	10	8	27	16	16	62	14	15
ADAM2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADAM20	0	0	1	3	0	1	0	0	0	0	0	0	1	0	2	1
ADAM20P1	1	3	0	5	3	0	1	0	0	0	1	2	1	2	0	1
ADAM21	0	3	0	0	4	1	0	0	0	0	0	0	0	0	1	5
ADAM21P1	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0
ADAM22	0	21	25	23	21	35	7	2	15	4	15	43	9	36	13	11
ADAM23	0	0	0	0	0	2	0	0	1	0	0	4	0	0	0	0
ADAM28	324	17	26	15	59	279	10	5	3	4	30	348	9	44	25	12
ADAM29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADAM30	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ADAM32	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ADAM33	23	2	0	1	1	1	0	3	2	1	4	1	0	0	5	5
ADAM3A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ADAM5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADAM6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADAM7	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0
ADAM8	827	441	305	271	285	1495	36	21	51	38	55	1203	59	82	80	41
ADAM9	25	42	24	34	28	33	4	3	4	4	54	7	5	39	8	15
ADAMDEC1	0	23	21	10	65	503	2	4	1	3	24	148	12	100	20	8
ADAMTS1	0	2	0	1	0	2	0	0	0	0	0	3	0	2	0	1
ADAMTS10	89	24	20	44	31	91	8	3	2	1	5	280	10	8	4	2
ADAMTS12	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ADAMTS13	78	18	20	18	56	55	5	2	13	1	6	54	7	34	7	10
ADAMTS14	12	12	83	16	35	86	34	19	18	1	14	769	42	249	4	15
ADAMTS15	0	0	0	0	0	0	0	0	3	0	0	1	0	1	0	0
ADAMTS16	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0
ADAMTS17	11	12	4	5	10	4	2	11	16	4	3	16	4	2	7	5
ADAMTS18	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ADAMTS19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADAMTS19-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADAMTS2	141	9	21	3	48	216	3	12	2	4	10	144	10	18	9	9
ADAMTS20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADAMTS3	168	424	195	422	255	32	15	12	77	46	148	85	59	121	119	95
ADAMTS4	22	8	7	5	9	4	13	20	20	16	9	33	5	20	23	20
ADAMTS5	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ADAMTS6	0	3	3	7	4	2	0	0	2	1	1	5	3	4	0	5
ADAMTS7	47	16	4	3	6	30	1	0	1	0	3	233	0	6	3	1
ADAMTS7P1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0
ADAMTS8	0	1	0	2	0	0	0	0	1	2	2	0	1	1	0	0
ADAMTS9	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0
ADAMTS9-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADAMTS9-AS2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADAMTSL1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADAMTSL2	43	10	17	7	27	4	7	17	25	11	10	35	9	9	4	7
ADAMTSL3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
ADAMTSL4	467	84	140	133	171	1194	42	35	77	48	176	1187	35	115	43	32
ADAMTSL4-AS1	22	3	3	8	4	3	6	7	20	10	12	15	8	4	17	7
ADAMTSL5	166	47	40	54	55	21	2	2	4	0	5	7	8	12	5	10
ADAP1	634	93	39	96	118	572	79	83	22	30	43	1683	59	117	64	24
ADAP2	124	7	7	5	22	89	72	57	14	14	29	415	40	150	75	25
ADAR	1593	1986	1349	1728	1650	2117	732	449	2089	1447	2177	4144	1394	2849	2169	2047
ADARB1	769	347	183	194	250	430	30	19	79	12	39	529	50	150	40	15
ADARB2	17	3	0	2	1	4	3	1	4	2	6	13	1	0	5	1
ADARB2-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADAT1	102	81	43	81	53	65	51	93	130	97	205	138	57	78	105	85
ADAT2	1475	573	347	850	487	538	156	90	369	83	220	675	219	733	290	207
ADAT3	457	198	100	211	126	247	194	119	173	52	69	271	104	85	132	114
ADCK1	792	358	265	461	345	429	363	242	585	266	300	677	345	719	515	703
ADCK2	195	351	276	199	267	319	69	106	276	62	150	398	219	395	232	186
ADCK3	1663	1094	743	773	1012	1500	361	150	589	470	446	2311	505	1405	624	519
ADCK4	752	372	324	356	405	676	239	218	409	114	265	1098	346	543	380	283
ADCK5	1214	186	143	356	207	435	448	482	953	142	275	811	498	941	541	369
ADCY1	28	11	10	8	7	10	10	28	24	6	13	42	6	17	19	12
