Gene	GSM3288224_Sample_01-TI_Fe73	GSM3288229_Sample_03-TITD_Fe46	GSM3288232_Sample_04-TITD_Fe50	GSM3288235_Sample_05-TITD_Fe80	GSM3288238_Sample_06-TITD_Fe28	GSM3288241_Sample_07-TI_Fe77	GSM3288246_Sample_09-TITD_tripletC	GSM3288249_Sample_10-TI_tripletH	GSM3288252_Sample_11-TITD_tripletQ	GSM3288255_Sample_12-TITD_tripletW	GSM3288256_Sample_12-TITD_exTM_tripletW	GSM3288258_Sample_13-TITD_tripletS	GSM3288261_Sample_14-TI_tripletA	GSM3288264_Sample_15-TITD_tripletG	GSM3288268_Sample_16-TITD_tripletJ	GSM3288276_Sample_18-TI_tripletT
TBPL1	76	704	565	1350	779	624	725	474	1886	1792	2915	1647	1461	2745	2636	2505
TBPL2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
TBR1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TBRG1	1871	821	546	1070	663	828	250	196	836	513	807	1584	511	1140	769	781
TBRG4	3098	1669	1243	1732	1512	1585	1019	479	1313	370	567	2902	1007	1259	1190	1047
TBX1	0	2	2	2	1	6	0	0	3	1	3	17	1	2	2	0
TBX10	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	1
TBX15	0	2	0	0	2	0	0	1	0	0	0	0	0	1	0	2
TBX18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TBX19	2	10	10	13	16	36	5	9	27	14	21	76	16	47	18	20
TBX2	0	0	0	1	1	0	0	0	0	1	0	1	0	1	0	0
TBX2-AS1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
TBX20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TBX21	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0
TBX22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TBX3	0	0	0	1	0	0	0	0	0	0	0	4	0	0	0	0
TBX4	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
TBX5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TBX5-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TBX6	11	11	12	13	13	57	7	6	8	6	3	17	4	7	6	8
TBXA2R	113	8	9	16	7	101	15	23	15	22	17	110	18	39	18	27
TBXAS1	590	93	86	63	262	2311	92	79	22	73	114	1700	96	371	169	74
TC2N	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCAF1	68	69	42	97	63	59	31	25	66	7	40	39	41	67	67	44
TCAF2	36	22	20	13	26	23	8	20	17	9	7	24	9	19	20	10
TCAF2P1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCAIM	303	282	190	196	265	249	68	36	136	38	100	379	82	199	158	111
TCAM1P	19	7	5	12	6	3	13	11	18	7	9	59	15	25	15	11
TCAP	509	66	57	42	42	42	25	19	45	13	16	87	21	31	21	13
TCEA1	112	857	609	1026	784	313	175	166	869	495	1799	629	619	4408	1028	1058
TCEA2	68	36	37	46	52	294	29	20	36	18	16	688	41	69	27	23
