11	778
11	5144
56	778
56	805
56	813
56	1217
56	1375
56	1831
56	2936
56	4002
56	4002
56	6069
56	8846
226	1222
226	1946
226	5850
226	6877
237	226
237	5397
237	7248
413	260
413	2236
413	5144
413	5651
413	6552
413	7540
416	5396
416	6847
511	6182
549	1359
549	1946
549	2924
549	3503
549	4002
610	2961
610	2961
610	4583
610	7667
611	612
611	4015
611	4002
611	6210
611	6847
611	6863
611	8148
611	8773
612	170
612	171
612	2038
612	3088
612	3666
612	4261
613	612
613	633
613	1396
613	2038
613	2039
613	3632
613	3916
613	4583
613	5301
613	7604
613	7620
613	7620
613	7621
613	8931
613	9361
614	805
614	1218
614	1794
614	3666
615	2220
615	4548
615	5583
615	7270
615	8171
615	9452
617	8331
639	778
639	805
639	1467
639	1467
639	2308
639	2761
639	2932
639	3018
639	4686
639	6180
639	6595
639	6595
639	7717
639	7998
639	8474
639	8781
639	9361
712	3420
757	3566
757	3566
804	3053
812	1861
812	5396
813	807
813	813
813	1217
813	1375
813	2819
813	3449
813	3914
813	4386
813	5144
813	5396
813	5868
813	8270
813	9524
892	599
892	639
892	1375
892	1376
892	1881
892	1916
892	2034
892	2038
892	2348
892	2549
892	3018
892	3018
892	3571
892	3632
892	3916
892	3918
892	4084
892	4713
892	6978
892	7620
892	8174
892	8175
892	9361
899	896
899	897
899	2346
919	2283
919	8420
928	57
928	639
928	5396
933	8035
1134	9889
1147	1346
1148	1375
1395	805
1395	1834
1395	2468
1395	3615
1395	3631
1395	3866
1395	3947
1395	5144
1395	7304
1395	7980
1396	174
1396	1375
1396	1834
1396	1849
1396	1919
1396	2984
1396	3088
1396	3100
1396	3810
1396	3866
1396	3914
1396	5731
1396	5845
1396	6372
1396	6552
1396	6552
1396	7304
1396	7663
1396	8777
1396	9524
1397	1916
1397	2038
1397	2038
1397	7984
1397	8777
1398	3053
1398	5144
1398	8037
1400	413
1400	4886
1487	1304
1541	3524
1541	3525
1541	3526
1541	3527
1541	3528
1541	3529
1541	3535
1541	4904
1541	6501
1541	7301
1541	7620
1610	836
1610	1822
1610	1823
1610	5224
1610	5530
1610	5932
1610	5933
1716	1376
1716	9361
1794	71
1794	805
1794	1123
1794	2629
1794	3566
1794	4002
1794	4518
1794	5301
1794	5486
1794	6332
1794	6476
1794	6552
1794	7667
1794	9331
1795	1922
1796	7665
1798	689
1798	2116
1798	2116
1798	4279
1798	4516
1798	4628
1798	5131
1798	6756
1798	6839
1798	8174
1798	8511
1799	293
1799	1375
1799	1794
1799	3508
1799	3907
1799	6501
1803	3631
1805	1208
1805	1213
1805	1270
1805	1794
1805	2308
1805	2924
1805	3004
1857	892
1861	438
1861	438
1861	813
1861	5144
1861	5144
1872	4002
1872	5144
1872	6134
1872	6766
1872	8172
1872	9370
1908	1937
1972	2924
2034	805
2034	7985
2038	611
2038	614
2038	633
2038	1395
2038	4583
2038	7270
2038	7620
2038	7621
2038	8781
2038	8781
2038	8931
2083	805
2083	6382
2093	2575
2236	846
2236	1123
2236	1346
2236	1922
2236	3818
2236	4665
2236	5041
2236	6766
2236	6852
2236	8781
2236	9361
2283	6552
2283	8420
2344	409
2344	588
2344	633
2344	639
2344	726
2344	785
2344	805
2344	846
2344	846
2344	892
2344	1122
2344	1273
2344	1350
2344	1375
2344	1873
2344	1981
2344	1989
2344	2126
2344	2236
2344	2285
2344	2291
2344	2308
2344	2348
2344	2578
2344	2581
2344	2750
2344	2872
2344	2932
2344	3501
2344	3550
2344	3632
2344	3913
2344	3934
2344	4116
2344	4116
2344	4432
2344	4582
2344	4603
2344	4686
2344	4698
2344	4713
2344	4752
2344	5142
2344	5144
2344	5502
2344	5543
2344	5850
2344	5857
2344	5899
2344	6160
2344	6203
2344	6753
2344	6754
2344	6766
2344	6796
2344	7233
2344	7234
2344	7626
2344	7626
2344	7636
2344	8531
2344	8833
2344	8846
2344	8846
2344	8848
2344	8852
2344	9240
2344	9243
2344	9361
2344	9542
2346	726
2346	1375
2347	892
2347	892
2347	3433
2347	4687
2347	6160
2347	6705
2347	8836
2348	409
2348	2344
2349	1213
2350	2479
2400	295
2400	295
2400	612
2400	1364
2400	1375
2400	1919
2400	2352
2400	2549
2400	2761
2400	2819
2400	3088
2400	3503
2400	3607
2400	3724
2400	4261
2400	4405
2400	5139
2400	5207
2400	5889
2400	6119
2400	6541
2400	6552
2400	6777
2400	7789
2400	7984
2400	8186
2400	8441
2400	8756
2400	8773
2400	8791
2400	8846
2400	9183
2400	9361
2400	9361
2402	1131
2402	5207
2409	7284
2409	7591
2472	2817
2472	2898
2472	4757
2473	9354
2474	4904
2475	1919
2475	1919
2475	3422
2475	4904
2475	8846
2476	2419
2476	2663
2476	2926
2476	6476
2476	8781
2478	2924
2479	778
2479	1375
2479	2344
2479	4713
2527	5144
2549	293
2549	846
2549	846
2549	892
2549	1375
2549	1937
2549	2236
2549	2419
2549	3508
2549	4904
2549	5144
2549	5850
2549	6552
2549	8426
2549	8530
2549	8938
2549	9361
2579	778
2579	805
2579	1375
2579	4225
2579	8846
2584	2628
2584	9326
2616	5543
2627	367
2627	778
2627	1116
2627	1310
2627	1532
2627	1834
2627	2358
2627	2400
2627	2898
2627	3232
2627	3816
2627	1545
2627	4248
2627	4713
2627	4904
2627	5139
2627	5306
2627	5450
2627	5800
2627	5800
2627	6923
2627	8425
2627	8426
2627	8510
2627	8666
2627	8795
2628	367
2628	1521
2628	1834
2628	1919
2628	2898
2628	3660
2628	4248
2628	4713
2628	4904
2629	5396
2629	6847
2630	785
2630	1375
2638	8510
2663	182
2663	271
2663	413
2663	1346
2663	1375
2663	1541
2663	3443
2663	4190
2663	5054
2663	5144
2663	5850
2663	5921
2663	6082
2663	7155
2663	7284
2663	7341
2663	8846
2875	1375
2875	1376
2898	2661
2898	2898
2898	2932
2898	3053
2898	3232
2898	3233
2898	3667
2898	8510
2898	8510
2924	1125
2924	1623
2924	1805
2924	2038
2924	2664
2924	2761
2924	2924
2924	3642
2924	4904
2924	4904
2924	5144
2924	5396
2924	6552
2924	7839
2924	8037
2925	1919
2925	8571
2926	3946
2926	3952
2927	813
2927	892
2927	2926
2927	4713
2927	5139
2927	8571
2932	933
2932	1214
2932	1324
2932	5144
2935	170
2935	1376
2935	1922
2935	2400
2935	8791
2935	9121
2936	813
2936	1217
2936	2932
2936	7620
2936	7624
2936	8791
2936	9121
2938	813
2938	1794
2938	3503
2938	7985
2938	8791
2985	2038
2985	4713
3013	8829
3053	204
3053	757
3053	918
3053	1135
3053	1315
3053	1395
3053	1937
3053	1972
3053	2158
3053	2567
3053	2817
3053	3053
3053	3232
3053	3233
3053	3358
3053	3476
3053	8037
3053	8425
3054	1937
3054	2817
3054	3053
3054	5035
3054	8037
3101	778
3102	4750
3145	805
3145	805
3145	1359
3145	2401
3145	2761
3145	7978
3145	8781
3332	3632
3332	7620
3335	761
3419	657
3426	1375
3426	2236
3426	5273
3433	2344
3433	2347
3443	806
3443	845
3443	1217
3443	1264
3443	1290
3443	1306
3443	1346
3443	1375
3443	2344
3443	2400
3443	2419
3443	2924
3443	3535
3443	3632
3443	3660
3443	4141
3443	4904
3443	5850
3443	6552
3443	6852
3443	6919
3443	7284
3443	7284
3443	7998
3443	8846
3443	9121
3444	295
3444	409
3444	1264
3444	1346
3444	1919
3444	2236
3444	4141
3444	7998
3444	8510
3444	8791
3445	295
3445	1346
3445	1922
3445	3054
3445	4002
3445	5144
3446	1375
3446	4002
3446	4002
3446	4749
3446	6552
3446	7283
3446	8514
3446	8515
3446	9361
3447	4749
3447	7717
3447	7721
3447	9597
3449	125
3449	1375
3449	3451
3449	3503
3449	3503
3449	4749
3449	4750
3449	4751
3450	1467
3450	1467
3450	1553
3450	3632
3450	4749
3450	5396
3450	6847
3450	8180
3450	8781
3450	8846
3454	1346
3454	2761
3454	9361
3454	9362
3454	9370
3501	2344
3501	5144
3501	7620
3501	8176
3501	9361
3503	267
3503	278
3503	416
3503	778
3503	840
3503	875
3503	1242
3503	1346
3503	1922
3503	2346
3503	2527
3503	3503
3503	3950
3503	4259
3503	4825
3503	5531
3503	5972
3503	7060
3503	7405
3503	7507
3503	7715
3503	7717
3503	7978
3503	8572
3503	9361
3503	9361
3503	9370
3503	9531
3503	9763
3508	4665
3514	1375
3514	3503
3514	4750
3514	9361
3514	9370
3516	6120
3550	892
3550	1290
3550	1346
3550	3866
3550	3866
3550	6552
3550	7720
3553	3102
3553	8773
3594	2924
3621	634
3621	761
3621	1375
3621	3631
3621	3810
3621	4259
3621	4825
3621	4831
3621	5240
3621	6223
3643	9361
3666	9744
3686	3660
3686	5144
3791	1290
3791	4904
3794	2863
3826	846
3826	3535
3842	778
3842	1119
3842	1375
3842	8846
3843	805
3845	324
3845	532
3845	778
3845	805
3845	1119
3845	1375
3845	1376
3845	1919
3845	6552
3845	7636
3845	8846
3907	805
3907	1122
3907	1214
3907	1289
3907	1350
3907	1359
3907	1362
3907	1375
3907	1389
3907	1541
3907	1937
3907	2296
3907	2344
3907	2420
3907	3524
3907	3699
3907	3908
3907	5139
3907	5276
3907	6496
3907	7978
3907	7979
3907	8363
3907	8791
3908	1541
3908	1922
3908	2296
3908	3707
3908	8363
3913	4661
3913	6591
3913	7979
3914	813
3914	2819
3914	3913
3915	5903
3916	613
3917	1937
3917	3810
3917	5276
3917	5379
3918	1217
3918	1375
3918	1376
3918	5260
3918	6182
3918	7999
3990	612
3990	2038
4002	612
4002	825
4002	892
4002	1306
4002	1375
4002	1805
4002	1831
4002	1887
4002	1919
4002	2038
4002	2627
4002	2664
4002	2761
4002	2926
4002	4002
4002	4259
4002	4278
4002	4623
4002	4657
4002	4751
4002	4904
4002	4904
4002	5144
4002	5224
4002	6119
4002	6275
4002	6552
4002	6743
4002	6745
4002	6919
4002	7839
4002	8037
4002	8209
4002	8773
4002	8788
4002	8846
4002	9360
4002	9361
4003	1306
4003	6552
4004	813
4004	813
4004	2926
4004	3018
4004	3946
4004	3952
4004	4713
4004	4713
4004	5139
4004	5139
4004	6552
4004	7996
4014	1359
4014	1375
4014	1376
4014	3916
4014	6766
4014	7837
4014	9673
4015	2578
4015	3176
4015	3451
4015	8176
4068	3978
4082	3724
4133	1375
4133	6551
4133	8209
4136	4261
4137	1375
4138	1240
4138	1375
4138	1922
4138	8530
4138	9500
4141	612
4141	846
4141	1214
4141	1258
4141	1346
4141	1375
4141	1375
4141	1376
4141	1377
4141	3088
4141	3420
4141	3451
4141	3635
4141	3703
4141	3810
4141	4510
4141	5651
4141	5960
4141	6743
4141	7984
4141	8530
4141	8846
4141	8846
4141	9360
4142	846
4142	1214
4142	1922
4142	2762
4142	3503
4142	3950
4142	4904
4142	5500
4143	612
4143	1375
4143	1448
4143	1981
4143	4904
4143	6180
4143	6584
4145	5871
4145	6180
4258	8440
4300	3503
4402	1346
4402	3357
4402	5384
4402	9673
4403	892
4403	2172
4469	8773
4518	5396
4546	3954
4548	5828
4564	2400
4564	8783
4662	5651
4663	9007
4664	295
4664	3917
4664	7513
4665	3319
4713	2237
4719	6852
4720	726
4749	4002
4749	4618
4749	4622
4749	5541
4749	7721
4750	4002
4750	4002
4750	4622
4750	5531
4751	612
4751	1258
4751	4002
4759	1123
4759	1376
4759	1380
4759	4004
4890	778
4890	1375
4890	4713
4891	778
4891	1375
4891	4713
5071	799
5071	807
5071	1346
5071	6541
5071	7001
5071	7839
5071	8271
5072	1346
5083	3079
5083	4681
5083	6428
5083	7984
5133	6541
5136	5144
5139	805
5139	805
5139	1288
5139	1834
5139	3660
5139	3802
5139	4132
5139	4248
5139	4402
5139	4657
5139	5144
5139	8578
5142	5144
5144	867
5144	899
5144	1217
5144	1282
5144	1286
5144	1327
5144	1362
5144	1368
5144	1375
5144	1375
5144	1395
5144	1467
5144	1922
5144	2355
5144	2932
5144	3053
5144	3444
5144	3524
5144	3525
5144	3526
5144	3538
5144	3539
5144	3570
5144	3571
5144	3890
5144	4003
5144	4192
5144	4259
5144	4898
5144	5054
5144	5306
5144	5388
5144	5483
5144	5651
5144	6180
5144	6380
5144	6534
5144	8103
5144	8145
5144	8147
5144	8282
5144	8283
5144	8503
5144	8781
5144	8846
5144	9158
5144	9361
5144	9514
5144	9535
5184	851
5207	6777
5286	1375
5288	805
5293	2924
5293	3621
5295	2999
5348	1919
5379	2924
5379	5144
5379	8846
5384	3660
5384	7998
5385	4713
5387	1881
5390	892
5390	1131
5390	1919
5390	3079
5390	3313
5390	3313
5390	3566
5390	3566
5390	5091
5390	7984
5390	7985
5392	1375
5393	3551
5393	3920
5393	3941
5393	7898
5394	3810
5394	8791
5395	1375
5395	1494
5396	14
5396	37
5396	202
5396	260
5396	262
5396	295
5396	737
5396	778
5396	805
5396	805
5396	806
5396	807
5396	807
5396	808
5396	812
5396	844
5396	844
5396	845
5396	845
5396	846
5396	1210
5396	1214
5396	1217
5396	1238
5396	1239
5396	1242
5396	1289
5396	1297
5396	1307
5396	1309
5396	1346
5396	1362
5396	1375
5396	1389
5396	1467
5396	1467
5396	1831
5396	1861
5396	1879
5396	1916
5396	1919
5396	1919
5396	1921
5396	1922
5396	2400
5396	2679
5396	2761
5396	2761
5396	3319
5396	3607
5396	3660
5396	3806
5396	3810
5396	3814
5396	3907
5396	3914
5396	3916
5396	4003
5396	4251
5396	4501
5396	4657
5396	4686
5396	4686
5396	4904
5396	4904
5396	5144
5396	5144
5396	5224
5396	5260
5396	5398
5396	5398
5396	5478
5396	5486
5396	5675
5396	5899
5396	6119
5396	6532
5396	6541
5396	6541
5396	6552
5396	6552
5396	6858
5396	6951
5396	7302
5396	7487
5396	7985
5396	8206
5396	8424
5396	8530
5396	8571
5396	8596
5396	8600
5396	8773
5396	8776
5396	8781
5396	8784
5396	8791
5396	8791
5396	8887
5396	8888
5396	8888
5396	9260
5396	9361
5396	9361
5396	9526
5396	9526
5396	9597
5397	1217
5397	1368
5397	3503
5397	7451
5397	7914
5398	1210
5398	1289
5398	1297
5398	2761
5398	3660
5398	3810
5398	5396
5398	5396
5398	6847
5398	6847
5398	7302
5398	8791
5398	8887
5404	4002
5409	1217
5409	1376
5409	2991
5409	3018
5409	5662
5409	8004
5410	1217
5410	1376
5410	2991
5411	1217
5411	1376
5411	2991
5450	121
5450	2924
5450	3723
5519	614
5519	1375
5519	4713
5519	6570
5526	14
5526	36
5527	14
5527	36
