Gene1,Gene2
AEBP2,TMEM53
AEBP2,FBXO31
AEBP2,ADAMTSL5
AEBP2,GPR108
AEBP2,TRIP10
AEBP2,GIPC1
AEBP2,HMGCS1
AEBP2,PWWP2A
AEBP2,JUP
AEBP2,NUMB
AFF4,MIR31HG
AFF4,TERF2
AFF4,CYB5B
AFF4,FLOT1
AFF4,IER3
AHR,PTDSS2
AHR,EPS8L2
AHR,DEAF1
AHR,CYB5R2
AHR,WEE1
AHR,PSMA1
AHR,PSMA1
AHR,SAAL1
AHR,UEVLD
AHR,RCN1
AHR,CD44
AHR,STX3
AHR,SLC15A3
AHR,TTC9C
AHR,KDM2A
AHR,POLD4
AHR,GSTP1
AHR,CPT1A
AHR,SHANK2
AHR,STARD10
AHR,P2RY6
AHR,C2CD3
AHR,PPME1
AHR,MIR326
AHR,TSKU
AHR,TENM4
AHR,PRCP
AHR,RAB30
AHR,ME3
AHR,ANKRD49
AHR,COLCA1
AHR,UPK2
AHR,BCL9L
AHR,RN7SL688P
AHR,CBL
AHR,ST3GAL4
AHR,ARHGAP32
AHR,NADK
AHR,NBPF1
AHR,PADI3
AHR,RCC2
AHR,ARHGEF10L
AHR,ECE1
AHR,RAP1GAP
AHR,MAN1C1
AHR,AHDC1
AHR,EPB41
AHR,KPNA6
AHR,AK2
AHR,SMAP2
AHR,HIVEP3
AHR,FOXJ3
AHR,ERI3
AHR,OSBPL9
AHR,SLC2A3P2
AHR,LINC01359
AHR,ANKRD13C
AHR,SYDE2
AHR,BCAR3
AHR,ARHGAP29
AHR,VAV3
AHR,VANGL1
AHR,IGSF3
AHR,CD160
AHR,RNF115
AHR,CHD1L
AHR,FMO5
AHR,BCL9
AHR,ANP32E
AHR,RNU2-17P
AHR,TARS2
AHR,VPS72
AHR,PIP5K1A
AHR,SELENBP1
AHR,POGZ
AHR,RNU6-662P
AHR,S100A11
AHR,S100A2
AHR,ADAR
AHR,EFNA1
AHR,MSTO2P
AHR,CFAP45
AHR,PBX1
AHR,TMCO1
AHR,TOR1AIP2
AHR,QSOX1
AHR,TRMT1L
AHR,SWT1
AHR,IVNS1ABP
AHR,HMCN1
AHR,MIR181A1HG
AHR,ELF3
AHR,PPP1R15B
AHR,PIK3C2B
AHR,IL24
AHR,CD55
AHR,CENPF
AHR,DEGS1
AHR,SNORA72
AHR,NVL
AHR,WNT9A
AHR,KCNK1
AHR,IRF2BP2
AHR,LGALS8
AHR,LGALS8-AS1
AHR,ITPR1
AHR,BHLHE40-AS1
AHR,LMCD1-AS1
AHR,LMCD1
AHR,VGLL4
AHR,BTD
AHR,ANKRD28
AHR,RFTN1
AHR,OSBPL10
AHR,ZNF860
AHR,TTC21A
AHR,VIPR1
AHR,ACKR2
AHR,GNL3
AHR,SNORD19
AHR,SNORD19
AHR,PRKCD
AHR,PSMD6
AHR,PRICKLE2
AHR,LRIG1
AHR,FOXP1
AHR,FILIP1L
AHR,NIT2
AHR,ZPLD1
AHR,KALRN
AHR,ITGB5
AHR,HEG1
AHR,ROPN1B
AHR,MGLL
AHR,IFT122
AHR,CPNE4
AHR,UBA5
AHR,ACAD11
AHR,BFSP2
AHR,BFSP2-AS1
AHR,SLC25A36
AHR,ZBTB38
AHR,ATR
AHR,MBNL1
AHR,MBNL1-AS1
AHR,PA2G4P4
AHR,LEKR1
AHR,MFSD1
AHR,FNDC3B
AHR,FXR1
AHR,MCCC1
AHR,ABCC5
AHR,LPP
AHR,TPRG1
AHR,TPRG1-AS1
AHR,MB21D2
AHR,LSG1
AHR,TNK2
AHR,PAK2
AHR,DLC1
AHR,DOCK5
AHR,SDAD1P1
AHR,BNIP3L
AHR,ZNF395
AHR,SPIDR
AHR,ATP6V1H
AHR,FAM110B
AHR,DNAJC5B
AHR,SGK3
AHR,SNHG6
AHR,STAU2
AHR,TMEM70
AHR,GDAP1
AHR,JPH1
AHR,WWP1
AHR,NBN
AHR,RUNX1T1
AHR,TRIQK
AHR,RAD54B
AHR,NDUFAF6
AHR,PABPC1
AHR,AZIN1
AHR,EBAG9
AHR,SYBU
AHR,SAMD12
AHR,MAL2
AHR,TAF2
AHR,TBC1D31
AHR,FER1L6-AS2
AHR,TRIB1
AHR,PVT1
AHR,RNU7-181P
AHR,MIR5194
AHR,CHRAC1
AHR,DENND3
AHR,PLEC
AHR,PAXBP1
AHR,RCAN1
AHR,RUNX1
AHR,CBR3-AS1
AHR,PIGP
AHR,TTC3
AHR,BRWD1
AHR,BRWD1-AS1
AHR,SH3BGR
AHR,ZBTB21
AHR,UMODL1
AHR,PDXK
AHR,SSR4P1
AHR,ADARB1
AHR,COL18A1
AHR,SLC19A1
AHR,PCBP3
AHR,PARP4
AHR,STARD13
AHR,RGS17P1
AHR,ELF1
AHR,TSC22D1
AHR,GTF2F2
AHR,CAB39L
AHR,MRPS31P5
AHR,COL4A2
AHR,MCF2L
AHR,USP6NL
AHR,ST8SIA6-AS1
AHR,PIP4K2A
AHR,MAP3K8
AHR,ERCC6
AHR,SGMS1
AHR,ARID5B
AHR,SEC24C
AHR,CHCHD1
AHR,ZSWIM8
AHR,ADK
AHR,COMTD1
AHR,ZMIZ1-AS1
AHR,SH2D4B
AHR,PANK1
AHR,MYOF
AHR,ANKRD2
AHR,HPS1
AHR,DNMBP
AHR,PDZD7
AHR,SFXN3
AHR,NEURL1
AHR,ITPRIP
AHR,SORCS1
AHR,ADD3
AHR,RBM20
AHR,PDCD4
AHR,PDCD4-AS1
AHR,BBIP1
AHR,ABLIM1
AHR,INPP5F
AHR,WDR11
AHR,TACC2
AHR,ADAM12
AHR,GLRX3
AHR,ITPA
AHR,CDC25B
AHR,AP5S1
AHR,ESF1
AHR,NDUFAF5
AHR,BFSP1
AHR,DSTN
AHR,CDK5RAP1
AHR,EPB41L1
AHR,PKIG
AHR,STK4
