"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17"
"TSPAN6",5.25938795204189,5.24670816166594,5.29182126584873,5.2071560341678,5.19834228805482,5.33508440743694,5.79222890298549,4.41111773367661,4.91091353199292,5.56367911876453,4.99904289446939,4.84683828324542,5.30734451525099,5.09442346682426,5.01813885522976,4.94513689997932,5.25755258638292
"DPM1",8.82423709878956,8.48933256120644,8.34380556194159,8.56760774675502,9.15816631562302,8.91449561444714,8.91094282220977,8.21152790376947,8.26393162598052,8.74241682331807,7.96231722306169,8.51828131046967,8.58555623094285,8.6611232082591,9.01866479044059,9.43682204886225,8.98449002451299
"SCYL3",9.35390415250803,9.16888895244314,9.08275701993351,8.90519352731184,9.24697682579115,9.05755336237439,9.50464681063797,9.17028805106529,9.31894568198335,9.13571565423705,9.12801575019636,9.09614137735561,9.03651964751851,9.19115152617174,9.02267743722998,8.9157750734978,9.06769410274844
"FIRRM",6.63609967404212,6.87686875524608,6.52067767951481,6.60186545216233,6.67967293001919,6.93361280692206,7.07999720389097,6.32650060739117,6.14486985763788,6.86090653989489,6.59450127645723,6.98692767467749,6.80076682153111,6.85738207784661,6.76059011367828,6.60147245672824,6.87882847837676
"FGR",13.3396100389333,13.4850412032039,13.4482078197523,13.6476056882577,13.0286960827682,12.8510133872849,13.2212775060645,14.3697538980332,13.8499479538011,13.6927161143424,13.8444487480709,12.9980955481736,13.0026337477108,13.2985234633959,13.8383685031722,13.8885938256707,13.6597750580064
"CFH",5.41282491440523,6.1802736415327,6.1330269428565,7.12890557221449,6.25613037164056,6.3737839151715,6.41790026660599,5.90453567846646,5.50068826863436,6.18244228060644,5.75935495952949,5.89946185385855,5.94933250573891,5.542596280689,5.62770848887041,6.13018024095729,5.96425163575572
"FUCA2",9.08280568126116,8.64893525657904,9.26473125180927,9.22781916809858,8.81146399234449,8.61736308914434,8.85642119110106,9.11333027006014,8.78311376627295,8.94558055437464,8.42011271079546,8.57122042474438,8.76871073180687,8.59519812559595,9.36362422790786,9.09375265195013,8.93117028224531
"GCLC",8.91447004529241,8.62673459109824,8.85831802785323,8.92094455988872,8.89382126259907,8.95594222248255,9.09485539964236,8.58598827058414,8.80115811900746,8.73046534868396,9.25160249126295,8.81011671335956,8.87544485332788,8.75299191542436,8.74024960566159,8.75895021747982,9.02206429611531
"NFYA",9.48966707268275,9.82930383927643,9.72137293399035,9.78011058955208,9.55588351747646,9.65537801719714,9.69469074467118,9.61518889780612,9.87744156284705,9.39727129258322,9.88667547026651,9.82833963148838,9.82935484100554,10.0049759623691,9.43759501276111,9.64597078090643,9.5737691804217
"STPG1",6.88407080252413,6.80971486225733,6.52067767951481,6.35333883987266,6.80082186050791,6.75392903182517,6.68122478544008,6.29844325762244,6.25852529683756,6.59989185204791,6.78191898435319,6.90560806027983,6.85251553459985,6.6886318767044,6.54902046432897,6.77898639642547,6.79290909099661
