"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23"
"TSPAN6",3.84089559137355,3.52880966563589,4.30239479419861,3.71273624242449,4.1021259826831,3.07231208120853,3.82369291492363,4.0364431878428,3.69747066851774,4.37768300080749,3.4114205229553,3.07231208120853,3.6404150149358,3.78186305487417,4.09558811917395,3.92825147065019,4.23508453228161,3.80266438710729,3.74793911666943,3.48076685497323,4.13499225466862,3.51968161299543,4.80067948085029
"DPM1",8.09384268364009,6.87372847133013,7.04153887465589,6.74341612874384,6.78224220479351,7.13122410550958,6.67912445278159,6.70386520138693,6.61348873971481,6.72291641304126,6.84188141258132,7.07647037298649,6.69121026630556,6.70558574924444,6.94529127513799,6.2410613104247,6.8503262118062,6.62472583792026,6.87858112851994,7.00293860509498,7.02422707762452,6.35753728592946,7.05430553040121
"SCYL3",6.35672120175202,7.03257586462962,7.42249235146926,7.30289278867019,7.45230975085278,7.36526741336172,6.71182242247692,7.27750944518328,7.11097180815134,7.46297894570164,7.26320460830472,6.94506811526925,7.51496238477633,7.47855400446582,7.22699219345639,6.87568998316299,7.52084667125652,6.73392658255831,7.20798427533923,6.99525058746342,7.33056027861993,7.04504664214882,7.16126385375398
"FIRRM",4.14712336267514,5.17360770079358,5.53366610334985,5.61700761584665,5.29411824075591,5.42516923766998,5.06052527005205,5.29230259514812,5.8196260353252,5.41038651591585,5.66999198991212,5.60882957354599,5.67554817133182,5.43329891174037,5.16200427919401,5.63047249870222,5.10302015579182,5.33609307106251,5.06595184003585,5.40255031934467,5.19844037332842,5.55819730332291,5.27704259153384
"FGR",10.8964531905416,11.8482379787304,10.4378164070121,11.3052688462325,11.143793859918,11.9619572268949,10.8595228750971,11.0732468106163,11.0585377166245,10.9951654040887,11.8111346898917,11.292812409584,10.3786857823739,11.5316099251926,11.0371439233554,11.6367472177002,11.7562070536039,11.6202792303576,11.4361375532448,11.2323710430132,10.8177070946213,11.4746689103266,10.5409110878423
"CFH",4.14712336267514,4.75133126166649,5.12951976186805,4.58384707755017,4.28794206600605,4.74935879124088,5.585542325139,4.20510906861403,4.84822679082851,4.80627297717061,4.94816495469885,4.31934774729022,4.61499669454605,4.6022506368818,4.57126536911513,4.32121412362074,5.10302015579182,4.77916421040973,5.06595184003585,4.13257273178394,4.63759004677286,4.72076731849932,5.4430055145165
"FUCA2",7.34909163918799,7.7495668167232,7.01753502941521,7.44951766658745,6.71175839951973,7.35126733179644,7.76278169616906,6.82857509778424,7.60385984270003,7.18804996017588,7.65018392807978,7.30783819679147,6.976362951372,7.42715494596557,7.23760820437216,7.21582104033987,7.19627066780688,7.61418879956364,7.34804504486799,7.04077087413247,6.88899606723368,7.44102496132552,6.57495730240129
"GCLC",9.6637420580105,8.07932254923971,9.09173883792491,10.0169416531232,8.17082909456705,9.72674298503667,10.5739059292962,9.83259544842252,9.58104810220808,9.13172113876072,8.83872720860133,9.39570125746733,9.46161434620385,9.18327302139919,10.7143036501969,8.69200840177725,9.14958659127835,9.16168388454215,9.14756625652254,9.18002094287987,8.91018089443509,8.99188040870382,9.22015199681267
"NFYA",6.7688940530133,7.91627191673503,7.58344959438728,7.79478619852455,8.013163951466,8.09296465571352,7.83838281546545,7.60158109431063,7.7456323805656,7.53039282585855,7.81502318556105,7.26130651655863,7.63511414034736,7.94207522160363,7.75578006948199,7.86019991978013,7.83004408242011,7.63034216900075,7.59282326903204,7.69963126630275,7.79739497076727,7.48116777668583,7.70710530194813
"STPG1",4.72024966789371,4.64593557269952,4.96104296666455,4.8873141771709,5.09265997310051,4.59839091112392,4.94791652697436,4.53096004228764,4.43046193062113,4.74505994404326,4.52959539846201,4.96690216701273,4.52318339487619,4.45251983970432,4.57126536911513,5.07121227286493,4.67750284326653,4.49082968299464,4.88015746858554,5.30246127059922,4.98346078423809,4.56129125368474,5.13718532900784
"NIPAL3",7.90056151610713,7.38115531530828,7.97600963759812,7.75025514693599,8.29248342544964,7.37221657133342,7.0801513419379,7.78644791678201,7.74022190343261,7.57097464214505,7.32769748690458,7.39660510959367,7.99072686957981,7.38287058001552,7.36890904262157,7.8021859710228,7.54782625295586,7.61418879956364,7.83794708223407,7.92615840188783,7.49813515834261,7.72902033752344,8.4207969069415
"LAS1L",7.28251346225261,7.29773079791523,7.39795198405646,7.56978603722671,7.40540883392653,6.68206945784536,7.69930283256224,7.28476248875134,7.55537148939161,7.41917965448474,7.18642490033946,7.62186545959617,7.48328617077139,7.10591664474498,7.2793033084834,7.29098771333118,7.16171083877242,7.11401325732217,7.57868774104766,7.87278179705082,7.37283618791086,7.35720687640165,7.43179535256367
"ENPP4",7.00793970496508,5.49092195397955,6.69279454244774,5.93444222898027,6.71175839951973,6.09152574744224,6.46536973763209,6.03659044661644,6.30922099249229,6.36252776958136,6.44246849284256,6.28085152573323,6.15624942080517,6.24972341506121,6.41755278090309,6.13087907027401,5.83540039144051,4.90053539804532,6.41793734323224,6.29209300617931,5.98743675543346,6.94312624481434,6.35094092101106
"SEMA3F",3.07231208120853,3.07231208120853,3.07231208120853,3.07231208120853,3.375387849099,3.07231208120853,3.07231208120853,3.07231208120853,3.07231208120853,3.07231208120853,3.07231208120853,3.07231208120853,3.07231208120853,3.07231208120853,3.07231208120853,3.45957499285399,3.07231208120853,3.59147575041334,3.07231208120853,3.07231208120853,3.07231208120853,3.51968161299543,3.07231208120853
"ANKIB1",6.17107471424788,7.28990059713855,7.60503928329023,7.33344068370422,7.75368220081777,7.37221657133342,7.92415387367437,7.68060110235443,7.71837412772537,7.58689181773119,7.48295736578041,6.82194417402605,7.66364576963382,7.51182576905309,7.70321631332093,7.55755207182614,7.4653181418407,6.64084843257023,7.47564259582478,7.52954085532504,6.81185972886342,7.25279922682167,7.54130856237999
"CYP51A1",3.07231208120853,4.3287870651094,4.0863665587626,4.69393611597441,4.28794206600605,4.21498886305804,4.12356345776532,4.53096004228764,4.65823108413608,4.68050823278888,4.26366194112339,3.71021384141391,3.6404150149358,4.17827205420414,4.09558811917395,4.00730969359578,4.43449799372722,4.49082968299464,4.97650413212589,3.64805733126233,4.05920145426415,4.14748055681066,3.97434547756537
"KRIT1",5.77174915976689,7.19244333475289,7.24118448379028,6.99399453791338,7.53014377545137,7.13940182621234,7.00318721214317,7.24812479576826,7.56764781539256,7.41917965448474,7.34441694537314,7.02162613790601,7.56625179722283,7.16993363540786,7.26899263232461,7.25678429332215,7.01447494341094,6.7782798840029,6.87858112851994,7.22939974385355,7.10537455239337,6.94312624481434,7.58458484391135
"RAD52",5.83632116507283,5.57305971704528,5.93368683282512,5.93444222898027,6.01196021177535,5.7877436688796,6.16679067314061,6.10459443924762,6.29438383955886,5.67901944054056,5.55660001535287,5.38802845734549,6.12888164859442,6.03486951730894,5.87361154528554,5.84964621599526,5.8648680914688,6.10100188202482,4.97650413212589,6.02869966538898,5.66944294470597,6.03288020349524,6.17906474686969
"BAD",8.2642233813176,6.7759469184661,6.57675826026468,6.35165864741595,5.54226100837932,6.50274900727951,6.67912445278159,6.42915244256427,6.5773132900324,6.43523516692158,6.23212782736663,6.92527043041037,6.57519557852301,6.01145278385019,5.90104814708238,6.43852026014275,6.43211550311292,6.31823607335974,6.87858112851994,5.96631756151219,6.85522675316779,6.76975319549582,6.05988162549805
"LAP3",8.78775520238543,10.0699213125207,8.58468083956182,8.51331413487469,8.21856493731525,9.67582577002129,7.99192081959494,9.58852412127444,9.15929698582014,9.2586616253263,9.51099685046444,9.23288909848055,8.26329540638125,10.1572396712985,9.19977912493009,8.31197117255181,9.7746062713244,8.64711821843017,9.5532074112246,8.58941980938521,9.04670671671499,10.055852390401,8.4996769919625
"CD99",10.3442717229758,9.62168558332475,9.54072275840776,9.6381187984911,8.73002883153688,9.5936899840533,9.82682624187556,9.53796777710921,9.77581533735897,9.63805842421813,9.72430688993398,10.2025966820412,9.77399620686377,9.5052031494592,9.24769261793991,9.73994604537018,9.44526420481362,10.340033483989,9.96203797426638,10.2203775314599,9.70815978663503,10.0402972094279,9.54280899680171
"HS3ST1",4.37466305634276,4.52988082512787,4.80768333583314,5.334196673137,5.12577028103887,3.83129403149912,3.07231208120853,4.90989656592014,4.43046193062113,4.97331757884468,4.824306317062,5.2622297651448,4.77914175569031,4.79535825851763,4.49199029551861,4.79078366690357,4.93828412125316,4.3123453241741,4.38969861734481,5.01245524798032,4.98346078423809,4.56129125368474,4.73439296109777
"AOC1",5.20567245418409,4.75133126166649,3.79657941178115,3.97086900820806,3.80805988369748,4.28963185099685,3.07231208120853,3.07231208120853,3.83506170882693,4.28636014867894,4.21927882338394,3.07231208120853,4.42300900963826,5.6644346739342,3.80329594635792,3.45957499285399,3.07231208120853,5.29433419527389,4.019447446175,3.07231208120853,4.44319551961573,4.81614839190116,3.07231208120853
"WNT16",3.07231208120853,3.52880966563589,3.79657941178115,4.32406741476896,4.28794206600605,3.07231208120853,3.07231208120853,3.07231208120853,4.13913712725689,3.58007452728111,4.01671260724317,3.07231208120853,4.18787269846261,4.06614521961807,4.2107353552582,3.61836500337965,3.81940515132588,3.59147575041334,4.019447446175,3.88131150885693,4.33105986132596,3.70250385268275,4.22498867957164
"MAD1L1",9.0024186462891,7.52809739114243,8.06041207286545,7.62016898603948,7.16741039993517,6.80054960702837,7.5087346646098,7.93190947249561,8.04226089242518,7.68626697158256,7.14881891947605,8.1240116210685,7.88974162889741,6.80324968659131,7.17269978030415,7.36241074219677,7.36771500427632,7.43261842863018,7.29711147159181,7.57655961866102,8.14926393882277,8.04215644889255,7.67544047203077
"LASP1",10.2460600858018,11.6754758876183,10.8268798500848,10.8997878000505,10.8470613516436,11.594014335974,10.8078723552276,10.956964026118,10.9268221100261,10.8011281812314,11.1334665001078,11.0953575666031,10.6494168479085,11.2602719316501,11.0774663232517,11.25470970921,11.3958404514816,11.5499715640029,11.3030217776589,10.8496226644636,11.4234925393071,11.0742384483298,10.7937158199049
