CIITA,S100A4,repressor
CIITA,SIRT1,repressor
CLOCK,BHLHE40,activator
CLOCK,CRY1,activator
CLOCK,CRY2,activator
CLOCK,NAMPT,activator
CLOCK,NR3C1,repressor
CLOCK,PER1,activator
CLOCK,PER2,activator
COPS5,CDKN1B,repressor
COPS5,VEGFA,activator
CREB1,ACACA,activator
CREB1,BCL2,activator
CREB1,CASP8,activator
CREB1,ETV3,activator
CREB1,HMOX1,repressor
CREB1,JUN,repressor
CREB1,LYL1,activator
CREB1,NDC80,activator
CREB1,NOLC1,activator
CREB1,PPP2CA,activator
CREB1,PSEN1,activator
CREB1,PTGS2,activator
CREB1,SLC20A1,activator
CREB1,UXT,activator
CREB3,CXCR4,activator
CREB3L1,SLC1A4,repressor
CREB5,ATP6V0E1,activator
CREB5,DGKG,activator
CREB5,DGKG,repressor
CREB5,LGALS3BP,repressor
CREB5,LY96,repressor
CREB5,MAPKAPK3,activator
CREB5,MX1,activator
CREB5,RASGRP3,repressor
CREB5,RDX,repressor
CREB5,STAT1,repressor
CREB5,TGFBR3,activator
CREBBP,ALOX15,activator
CREBBP,CDKN1A,activator
CREBBP,CREB1,activator
CREBBP,HINFP,activator
CREBBP,IRF1,activator
CREBBP,PSMC5,activator
CREG1,HSPA4,repressor
CREM,CCL4,repressor
CREM,CCNA2,repressor
CREM,CD247,repressor
CREM,CREB1,repressor
CREM,DUSP1,repressor
CREM,FOS,repressor
CREM,G6PD,repressor
CTBP1,BRCA1,repressor
CTCF,APP,activator
CTCF,APP,repressor
CTCF,BCL6,repressor
CTCF,MYC,activator
CTCF,MYC,repressor
CTNNB1,JUN,activator
CTNNB1,MYC,activator
CTNNB1,PLD1,activator
CTNNB1,RB1,repressor
CTNNB1,STARD7,activator
CTNNB1,VIM,activator
CUX1,CYBB,activator
DACH1,FOS,repressor
DDB2,BCL2,repressor
DDB2,SOD2,repressor
DDIT3,ATF2,repressor
DDIT3,ATF5,repressor
DDIT3,ATG5,activator
DDIT3,CEBPA,repressor
DDIT3,MAP1LC3B,activator
DDIT3,RTN3,activator
DDIT3,SIRT1,repressor
DDIT3,SIRT2,repressor
DDIT3,TNFRSF10B,activator
DDIT3,TNFRSF10B,repressor
DDIT3,TRIB3,activator
DEK,BCL2,activator
DEK,PRDX5,repressor
DENND4A,ERBB2,repressor
DNMT1,BIRC5,repressor
DNMT1,CASP8,repressor
DNMT1,CDH1,repressor
DNMT1,CXCR4,repressor
DNMT1,IL32,repressor
DNMT1,MBD2,repressor
DNMT1,MSH2,activator
DNMT1,RB1,repressor
DNMT1,RELN,repressor
DNMT1,TNFRSF10B,repressor
DNMT1,VEGFA,activator
DR1,PTGS2,activator
DR1,TBP,repressor
E2F1,APAF1,activator
E2F1,ASF1B,activator
E2F1,ATG5,activator
E2F1,ATM,activator
E2F1,AURKA,activator
E2F1,BBC3,activator
E2F1,BCL2,activator
E2F1,BIRC5,activator
E2F1,BIRC5,repressor
E2F1,BRCA1,repressor
E2F1,CASP7,activator
E2F1,CD2AP,activator
E2F1,CDK1,activator
E2F1,CDKN1A,activator
E2F1,CTNNBIP1,activator
E2F1,DAPK2,activator
E2F1,DBF4,activator
E2F1,DHFR,activator
E2F1,DNMT1,repressor
E2F1,DRAM1,activator
