"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17"
"TSPAN6",5.39244049638693,5.51614947896399,5.54885125224394,5.11019521106659,5.67545489684683,5.83035844041849,5.89861896105657,5.56603449511175,4.90032536509011,5.13108287597366,4.70502113924708,5.55085315097737,5.2514341518226,5.18776188740393,5.38710891696233,5.28885983366846,5.62326520754893
"DPM1",9.04356400720845,8.41948953530251,8.75715720040188,8.91038194263277,9.21841585656184,8.72646987331458,8.41681713838076,8.99149137951662,9.12999702542678,9.23320896264077,8.14788385311814,8.6298431898117,8.79878348440259,8.94293280450882,8.6138485587909,9.0183086845469,8.9690248160575
"SCYL3",9.45622093540061,9.23322716262776,9.14261076042796,8.98888916814188,9.5762641394643,9.27583539177479,9.45143888670357,9.4067796549128,9.30204283195121,9.20582227171442,9.17087540305028,9.19140974145108,9.20167323592422,9.44154621943792,9.22272807002278,9.21460035805037,9.14221532203883
"FIRRM",6.82308878263611,6.98198782418572,6.6519388980953,6.8436699811403,7.24584478344569,6.88197138935464,6.89946763212063,6.98375265748387,6.49918801914584,6.99487235687301,7.01100473033583,7.17316412227625,6.96054516451461,6.92207967235416,6.91297492772825,6.88106968020023,6.987199312625
"FGR",13.3075860836865,13.64522427583,13.3810334735448,13.5498552522553,12.9810336312092,13.4823409775201,13.4703582101201,14.2709953070596,13.9814547253646,13.8955217123486,14.1066223150982,13.3054166078345,13.2620781385313,13.4911484938618,13.6860393322444,13.9811115383782,13.8831075581179
"CFH",5.61615751100716,6.23804291314115,6.68169641822848,6.65785210146854,6.57435870309867,6.03927456537996,6.42323434719115,5.5247322309894,5.75788787870732,6.27835668802139,5.50309538322692,5.9871173186853,6.16397835201695,5.6753893506014,5.899340792742,6.87134760712126,6.16427692109148
"FUCA2",9.23208258741273,8.89251473731973,9.28035215501516,8.87291538673112,8.96680273037606,9.04309378067834,8.62001839142336,9.38779154721025,8.98861682075072,9.19541643865225,8.78652993211951,8.90943368632177,8.99518180015385,8.89035360931915,9.04601686318186,9.17473295471808,9.08515340624753
"GCLC",8.94973163282585,9.0284943946034,9.01022596050257,9.36249656061436,9.25248672221386,9.00618934068782,9.03360215081985,9.10343940746617,8.86688196916489,8.99397051920902,9.34507815692231,9.1255506108811,9.0899026535826,9.12078088661218,8.89146005107427,8.94794307920644,9.23693422777342
"NFYA",9.78134399404947,9.82318430772508,9.72314318084424,10.0211036784813,9.86459686386538,9.84110826240039,9.94440429440125,9.81474609146218,9.91213028021212,9.82088385936281,9.85057115285469,9.98504517766552,9.82898537409558,10.1223637085144,9.96049258265668,9.85657013520667,9.67084908334342
"STPG1",6.96672480972185,6.69099738911698,6.73930674400277,6.7995499513457,6.93968085637049,7.19920568961084,6.82206312934947,6.45230333957619,6.43531657597193,6.35970891233286,6.6170772687172,6.97723479722674,6.95319627099404,6.88583035458904,6.82306389082125,6.90982807416607,6.24099200975663
"NIPAL3",10.0891311126921,10.0273331043635,9.97566698480981,9.96077357790571,10.1782141531626,10.3039311634313,10.0052820433477,9.63323556455506,9.58055109452769,9.26340884053246,10.0601288194596,10.4372054483898,10.2703875486231,10.1827437483498,9.89298835400327,10.046191125369,10.0064543927182
"LAS1L",9.58111859190594,9.54446167215836,9.65786282994527,9.50500728624212,9.43381709061685,9.60669382701932,9.51464680451599,9.1605111753115,9.58055109452769,9.43240527894591,9.69381110828114,9.59756986484068,9.57806823624019,9.49969308900998,9.62173315479504,9.67400098761521,9.56011537253664
"ENPP4",7.93568515910183,8.16551132466949,8.43718157117714,8.67333477115947,8.69653440024849,8.15368176324064,7.9384424667067,7.95906620944759,8.00725551178549,7.85810013126163,7.46983948168638,8.16150579274045,8.35902724646587,8.81241300374351,8.07099834400964,8.16041129312024,8.15659056091457
"SEMA3F",4.27114762010604,4.27114762010604,4.83899633057603,4.27114762010604,4.27114762010604,4.27114762010604,4.60051232400876,4.27114762010604,4.27114762010604,4.27114762010604,4.70502113924708,4.62360948835604,4.27114762010604,4.5517466384325,4.27114762010604,4.67731284528108,4.27114762010604
"ANKIB1",9.28814310105057,9.44870325060118,9.33783135062616,9.68462894764115,9.92551113972552,9.50990315661005,9.35444943084975,9.31175306271837,9.15856669346291,9.13498550970951,9.3134811576029,9.57801513126673,9.50878162268499,9.56399315270266,9.52988422086324,9.01185619858087,9.40563016506146
"CYP51A1",5.75715351973485,5.34568538749041,5.18888585139009,5.3946932535506,5.67545489684683,5.18351243783791,5.68949787934337,5.56603449511175,4.90032536509011,5.47052474368004,5.60079099683117,5.72819751856041,5.44837114137569,5.78985715177351,5.47184593776155,5.32567925966108,5.68453058025436
"KRIT1",9.31455786018658,9.32561821772677,9.21066828859881,9.24218923834058,9.74177039951499,9.25502205672195,9.36997230794513,8.99149137951662,8.84359696411362,9.08699865162755,9.20356919405642,9.31734891011561,9.48658329778702,9.41389652227114,9.29428539528605,8.9434288085739,9.14221532203883
"RAD52",7.75341608367503,7.85643555959689,7.9134766749096,7.99694979624257,8.2707118364076,7.98115584068773,8.03666283202081,7.8996543305377,7.70355402577493,7.78549386712739,7.83777590713546,7.77696511750326,7.69959109675102,7.88019626035348,7.57319260640329,7.37982774625999,7.85897610757614
